community	chr	genes_in_tads	span_tads	pg_gene	order	size	gene_dif
329	1	2	1	ENSG00000142687	2	1	0
330	1	2	1	ENSG00000143061	2	1	0
331	1	2	2	ENSG00000143164	2	1	0
334	1	2	2	ENSG00000143801	2	1	0
335	2	2	1	ENSG00000144040	2	1	0
336	2	2	2	ENSG00000144224	2	1	0
337	3	1	2	ENSG00000144674	2	1	1
338	3	2	1	ENSG00000145040	2	1	0
339	4	2	1	ENSG00000145428	2	1	0
340	4	2	1	ENSG00000145431	2	1	0
341	5	2	1	ENSG00000145916	2	1	0
342	6	2	1	ENSG00000146433	2	1	0
343	1	2	1	ENSG00000214193	2	1	0
344	X	2	1	ENSG00000146950	2	1	0
345	X	2	1	ENSG00000147231	2	1	0
346	8	76	25	ENSG00000147419	79	943	3
347	11	2	1	ENSG00000149091	2	1	0
351	20	3	1	ENSG00000149599	3	2	0
352	20	2	1	ENSG00000149633	2	1	0
353	10	2	2	ENSG00000150593	2	1	0
355	11	2	1	ENSG00000151376	2	1	0
356	2	2	2	ENSG00000250565	2	1	0
357	14	2	1	ENSG00000151748	2	1	0
358	1	2	1	ENSG00000152382	2	1	0
359	19	22	1	ENSG00000213762	30	111	8
360	2	2	1	ENSG00000153234	2	1	0
361	2	2	1	ENSG00000153237	2	1	0
362	6	2	1	ENSG00000153291	2	1	0
363	18	2	1	ENSG00000154040	2	1	0
364	18	2	1	ENSG00000154065	2	1	0
365	17	2	1	ENSG00000154262	2	1	0
366	4	2	2	ENSG00000154447	2	1	0
367	21	2	1	ENSG00000154640	2	1	0
368	4	2	1	ENSG00000155269	2	1	0
370	9	3	3	ENSG00000156017	3	2	0
371	21	40	17	ENSG00000159131	48	94	8
373	1	2	1	ENSG00000157870	2	1	0
375	2	2	2	ENSG00000158019	2	1	0
376	2	3	2	ENSG00000158158	3	2	0
377	3	2	1	ENSG00000158234	2	1	0
378	20	8	3	ENSG00000124214	8	9	0
380	2	2	1	ENSG00000159239	2	1	0
381	1	2	2	ENSG00000160055	2	1	0
382	3	2	2	ENSG00000174173	2	1	0
384	19	2	1	ENSG00000160318	2	1	0
385	1	47	12	ENSG00000143379	48	81	1
387	12	5	7	ENSG00000161813	5	4	0
388	16	2	1	ENSG00000162086	2	1	0
389	1	2	1	ENSG00000162654	2	1	0
390	1	2	1	ENSG00000162757	2	1	0
391	1	2	1	ENSG00000162814	2	1	0
392	1	2	2	ENSG00000162817	2	1	0
393	2	2	1	ENSG00000162882	2	1	0
394	1	2	2	ENSG00000162889	2	1	0
395	1	2	1	ENSG00000162894	2	1	0
396	1	2	1	ENSG00000162931	2	1	0
397	1	2	1	ENSG00000163220	2	1	0
398	4	3	1	ENSG00000163257	3	2	0
400	3	2	2	ENSG00000163491	2	1	0
402	3	2	1	ENSG00000163539	2	1	0
403	4	2	2	ENSG00000163625	2	1	0
404	4	2	1	ENSG00000163683	2	1	0
405	3	2	1	ENSG00000163728	2	1	0
406	4	2	1	ENSG00000163734	2	1	0
407	4	2	1	ENSG00000179387	2	1	0
408	1	12	7	ENSG00000183520	12	13	0
410	4	2	1	ENSG00000164023	2	1	0
411	4	2	2	ENSG00000164116	2	1	0
412	4	2	1	ENSG00000164118	2	1	0
413	4	2	1	ENSG00000164125	2	1	0
414	4	16	13	ENSG00000138802	16	16	0
415	4	2	2	ENSG00000164162	2	1	0
416	5	2	1	ENSG00000164172	2	1	0
418	5	28	16	ENSG00000113460	30	70	2
419	8	2	2	ENSG00000164823	2	1	0
420	9	2	2	ENSG00000165695	2	1	0
422	14	2	1	ENSG00000165929	2	1	0
424	10	2	2	ENSG00000166228	2	1	0
427	11	2	1	ENSG00000166928	2	1	0
428	17	2	1	ENSG00000167107	2	1	0
429	16	2	1	ENSG00000167207	2	1	0
430	19	3	1	ENSG00000167554	3	2	0
431	19	2	1	ENSG00000167759	2	1	0
435	3	4	1	ENSG00000168301	4	3	0
436	14	2	1	ENSG00000168398	2	1	0
437	16	2	1	ENSG00000168404	2	1	0
438	16	2	1	ENSG00000168447	2	1	0
440	4	2	2	ENSG00000168564	2	1	0
441	2	2	1	ENSG00000168758	2	1	0
442	17	2	1	ENSG00000168792	2	1	0
443	15	2	2	ENSG00000168904	2	1	0
444	5	2	1	ENSG00000168938	2	1	0
445	2	6	6	ENSG00000115685	11	10	5
446	4	2	1	ENSG00000169019	2	1	0
447	19	2	1	ENSG00000169035	2	1	0
448	8	21	14	ENSG00000187735	23	46	2
449	3	2	2	ENSG00000169255	2	1	0
450	1	2	1	ENSG00000169291	2	1	0
451	4	2	2	ENSG00000169299	2	1	0
452	8	2	1	ENSG00000169439	2	1	0
453	16	3	1	ENSG00000125148	3	2	0
454	2	1	1	ENSG00000169764	2	1	1
455	X	2	1	ENSG00000169891	2	1	0
