community_id	newman	bynode	totalfrac	diffraction
319	NA	1	1	1
364	NA	1	1	1
532	NA	1	1	1
637	NA	1	1	1
338	NA	1	1	1
609	NA	1	1	1
270	NA	1	1	1
558	NA	1	1	1
178	NA	1	1	1
645	NA	1	1	1
287	NA	1	1	1
310	NA	1	1	1
502	NA	1	1	1
614	NA	1	1	1
569	NA	1	1	1
671	NA	1	1	1
127	NA	1	1	1
541	NA	1	1	1
500	NA	1	1	1
370	NA	1	1	1
527	NA	1	1	1
659	NA	1	1	1
602	NA	1	1	1
466	NA	1	1	1
182	NA	1	1	1
579	NA	1	1	1
113	NA	1	1	1
355	NA	1	1	1
23	NA	1	1	1
149	NA	1	1	1
381	NA	1	1	1
271	NA	1	1	1
123	NA	1	1	1
409	NA	1	1	1
346	NA	1	1	1
303	-1	0	0	-1
469	NA	1	1	1
246	NA	1	1	1
50	NA	1	1	1
348	NA	1	1	1
305	NA	1	1	1
516	NA	1	1	1
617	NA	1	1	1
159	NA	1	1	1
244	NA	1	1	1
118	NA	1	1	1
217	NA	1	1	1
241	NA	1	1	1
280	NA	1	1	1
373	-1	0	0	-1
44	NA	1	1	1
678	NA	1	1	1
283	-0.3333333333333333	0.5	0.5	0
668	NA	1	1	1
429	NA	1	1	1
69	NA	1	1	1
603	NA	1	1	1
453	NA	1	1	1
592	NA	1	1	1
520	NA	1	1	1
700	NA	1	1	1
481	NA	1	1	1
495	NA	1	1	1
677	NA	1	1	1
179	NA	1	1	1
269	-1	0	0	-1
643	NA	1	1	1
99	NA	1	1	1
265	NA	1	1	1
488	NA	1	1	1
202	NA	1	1	1
281	NA	1	1	1
654	NA	1	1	1
184	-1	0	0	-1
213	NA	1	1	1
629	NA	1	1	1
317	NA	1	1	1
595	NA	1	1	1
219	NA	1	1	1
486	NA	1	1	1
521	NA	1	1	1
513	NA	1	1	1
340	NA	1	1	1
547	NA	1	1	1
564	NA	1	1	1
289	NA	1	1	1
431	NA	1	1	1
201	-0.11111111111111113	0.2222222222222222	0.2	-0.6
624	NA	1	1	1
132	-1	0	0	-1
642	NA	1	1	1
88	0.09333333333333337	0.4107142857142857	0.29411764705882354	-0.4117647058823529
326	NA	1	1	1
252	-0.6	0	0	-1
387	-0.3333333333333333	0.5	0.5	0
687	NA	1	1	1
296	NA	1	1	1
530	NA	1	1	1
199	NA	1	1	1
598	NA	1	1	1
585	NA	1	1	1
492	-1	0	0	-1
278	NA	1	1	1
572	-1	0	0	-1
171	NA	1	1	1
136	NA	1	1	1
593	NA	1	1	1
284	NA	1	1	1
578	NA	1	1	1
450	NA	1	1	1
164	-0.3333333333333333	0	0	-1
165	NA	1	1	1
566	NA	1	1	1
89	NA	1	1	1
331	NA	1	1	1
522	NA	1	1	1
98	NA	1	1	1
236	NA	1	1	1
461	NA	1	1	1
508	NA	1	1	1
267	NA	1	1	1
122	NA	1	1	1
416	NA	1	1	1
472	NA	1	1	1
424	NA	1	1	1
479	NA	1	1	1
327	NA	1	1	1
192	NA	1	1	1
524	NA	1	1	1
382	NA	1	1	1
510	NA	1	1	1
501	NA	1	1	1
335	NA	1	1	1
607	NA	1	1	1
177	NA	1	1	1
83	NA	1	1	1
223	NA	1	1	1
591	NA	1	1	1
601	NA	1	1	1
487	NA	1	1	1
403	NA	1	1	1
146	-0.38461538461538464	0	0	-1
239	NA	1	1	1
260	NA	1	1	1
311	NA	1	1	1
691	NA	1	1	1
256	NA	1	1	1
414	NA	1	1	1
531	NA	1	1	1
503	NA	1	1	1
627	NA	1	1	1
619	NA	1	1	1
491	NA	1	1	1
442	NA	1	1	1
471	-0.3333333333333333	0.5	0.5	0
552	NA	1	1	1
161	-0.3333333333333333	0.5	0.5	0
599	NA	1	1	1
567	NA	1	1	1
662	NA	1	1	1
358	NA	1	1	1
648	NA	1	1	1
240	NA	1	1	1
216	NA	1	1	1
476	NA	1	1	1
405	NA	1	1	1
231	NA	1	1	1
444	NA	1	1	1
415	NA	1	1	1
362	NA	1	1	1
560	NA	1	1	1
620	0	0.5833333333333334	0.5	0
693	NA	1	1	1
528	NA	1	1	1
512	NA	1	1	1
504	NA	1	1	1
297	NA	1	1	1
419	NA	1	1	1
644	NA	1	1	1
651	NA	1	1	1
56	-1	0	0	-1
73	-0.3333333333333333	0.5	0.5	0
169	NA	1	1	1
452	-1	0	0	-1
449	NA	1	1	1
605	NA	1	1	1
218	-1	0	0	-1
137	NA	1	1	1
198	-1	0	0	-1
680	NA	1	1	1
299	NA	1	1	1
120	NA	1	1	1
576	NA	1	1	1
418	NA	1	1	1
545	NA	1	1	1
82	NA	1	1	1
485	NA	1	1	1
235	-1	0	0	-1
612	NA	1	1	1
109	NA	1	1	1
347	NA	1	1	1
363	NA	1	1	1
451	NA	1	1	1
398	NA	1	1	1
148	NA	1	1	1
350	NA	1	1	1
220	NA	1	1	1
321	NA	1	1	1
106	NA	1	1	1
205	NA	1	1	1
684	NA	1	1	1
166	NA	1	1	1
611	NA	1	1	1
160	NA	1	1	1
365	NA	1	1	1
430	-0.33333333333333337	0.3333333333333333	0.3333333333333333	-0.3333333333333333
150	NA	1	1	1
692	-0.1333333333333332	0.7523809523809524	0.7647058823529411	0.5294117647058824
61	NA	1	1	1
320	NA	1	1	1
559	NA	1	1	1
441	NA	1	1	1
208	-1	0	0	-1
93	NA	1	1	1
163	NA	1	1	1
52	-0.3846153846153847	0.075	0.1111111111111111	-0.7777777777777778
323	NA	1	1	1
660	NA	1	1	1
422	NA	1	1	1
302	NA	1	1	1
428	NA	1	1	1
354	NA	1	1	1
181	-1	0	0	-1
557	NA	1	1	1
462	NA	1	1	1
423	NA	1	1	1
695	NA	1	1	1
676	NA	1	1	1
685	NA	1	1	1
457	NA	1	1	1
628	NA	1	1	1
456	NA	1	1	1
582	NA	1	1	1
397	NA	1	1	1
63	NA	1	1	1
440	NA	1	1	1
413	NA	1	1	1
154	NA	1	1	1
652	NA	1	1	1
588	NA	1	1	1
356	NA	1	1	1
635	NA	1	1	1
300	NA	1	1	1
276	NA	1	1	1
539	-0.11314984709480147	0.7490079365079365	0.7307692307692307	0.46153846153846156
337	-1	0	0	-1
151	NA	1	1	1
630	NA	1	1	1
525	NA	1	1	1
259	NA	1	1	1
372	NA	1	1	1
210	NA	1	1	1
523	NA	1	1	1
64	NA	1	1	1
268	NA	1	1	1
499	NA	1	1	1
509	NA	1	1	1
669	NA	1	1	1
613	NA	1	1	1
699	NA	1	1	1
664	NA	1	1	1
374	NA	1	1	1
117	NA	1	1	1
425	NA	1	1	1
49	NA	1	1	1
577	NA	1	1	1
314	NA	1	1	1
455	NA	1	1	1
647	NA	1	1	1
126	NA	1	1	1
433	NA	1	1	1
650	NA	1	1	1
670	NA	1	1	1
153	NA	1	1	1
606	NA	1	1	1
389	NA	1	1	1
460	NA	1	1	1
390	-1	0	0	-1
249	NA	1	1	1
306	NA	1	1	1
411	-1	0	0	-1
135	NA	1	1	1
464	-1	0	0	-1
519	NA	1	1	1
396	NA	1	1	1
448	NA	1	1	1
667	NA	1	1	1
185	NA	1	1	1
543	NA	1	1	1
549	NA	1	1	1
625	NA	1	1	1
568	NA	1	1	1
343	NA	1	1	1
139	NA	1	1	1
130	-0.20000000000000057	0.6666666666666666	0.6666666666666666	0.3333333333333333
673	NA	1	1	1
292	NA	1	1	1
626	NA	1	1	1
243	NA	1	1	1
640	NA	1	1	1
511	NA	1	1	1
426	NA	1	1	1
587	NA	1	1	1
366	NA	1	1	1
497	NA	1	1	1
318	NA	1	1	1
386	NA	1	1	1
636	NA	1	1	1
140	-1	0	0	-1
689	NA	1	1	1
484	NA	1	1	1
285	NA	1	1	1
360	NA	1	1	1
621	NA	1	1	1
263	NA	1	1	1
656	NA	1	1	1
590	NA	1	1	1
