ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
CSR_LATE_UP.V1_DN	CSR_LATE_UP.V1_DN	128	-0.539298102605049	-1.9914228311038449	1.1366219595362583e-4	0.001019699730972837	4.624618040806259e-4	2134	tags=41%, list=17%, signal=34%	ENSG00000138735/ENSG00000120820/ENSG00000132274/ENSG00000168899/ENSG00000128284/ENSG00000154359/ENSG00000122378/ENSG00000196155/ENSG00000105855/ENSG00000142961/ENSG00000185519/ENSG00000119943/ENSG00000185585/ENSG00000170425/ENSG00000139567/ENSG00000205978/ENSG00000013619/ENSG00000047634/ENSG00000149798/ENSG00000185010/ENSG00000146122/ENSG00000134324/ENSG00000162817/ENSG00000130707/ENSG00000000971/ENSG00000129048/ENSG00000112096/ENSG00000185950/ENSG00000175040/ENSG00000136859/ENSG00000148180/ENSG00000136732/ENSG00000180447/ENSG00000197635/ENSG00000146966/ENSG00000198910/ENSG00000154134/ENSG00000172935/ENSG00000182916/ENSG00000106123/ENSG00000154262/ENSG00000119771/ENSG00000154065/ENSG00000163815/ENSG00000134121/ENSG00000165124/ENSG00000165072/ENSG00000168477/ENSG00000157404/ENSG00000149090/ENSG00000196549/ENSG00000168497
PTEN_DN.V1_UP	PTEN_DN.V1_UP	114	-0.6166447068821393	-2.2452478940309146	1.1548677676406051e-4	0.001019699730972837	4.624618040806259e-4	2161	tags=54%, list=17%, signal=45%	ENSG00000176697/ENSG00000137078/ENSG00000120820/ENSG00000089486/ENSG00000165868/ENSG00000186310/ENSG00000165512/ENSG00000101144/ENSG00000117600/ENSG00000178233/ENSG00000070371/ENSG00000197442/ENSG00000196781/ENSG00000164850/ENSG00000140961/ENSG00000166086/ENSG00000120328/ENSG00000205978/ENSG00000154556/ENSG00000134198/ENSG00000077092/ENSG00000184160/ENSG00000163083/ENSG00000103710/ENSG00000198835/ENSG00000175745/ENSG00000116106/ENSG00000150594/ENSG00000172005/ENSG00000064205/ENSG00000185345/ENSG00000152284/ENSG00000160145/ENSG00000138769/ENSG00000050555/ENSG00000173269/ENSG00000163531/ENSG00000186994/ENSG00000091137/ENSG00000005249/ENSG00000108947/ENSG00000265972/ENSG00000250722/ENSG00000197872/ENSG00000128242/ENSG00000146233/ENSG00000113578/ENSG00000240583/ENSG00000117013/ENSG00000134757/ENSG00000137285/ENSG00000078401/ENSG00000118596/ENSG00000069702/ENSG00000137225/ENSG00000261857/ENSG00000106278/ENSG00000164825/ENSG00000129455/ENSG00000137033/ENSG00000266524
IL21_UP.V1_DN	IL21_UP.V1_DN	104	-0.5057813961310409	-1.8265157715314142	1.1634671320535195e-4	0.001019699730972837	4.624618040806259e-4	2040	tags=42%, list=16%, signal=36%	ENSG00000107186/ENSG00000101333/ENSG00000124019/ENSG00000117600/ENSG00000128052/ENSG00000182511/ENSG00000140961/ENSG00000036530/ENSG00000105549/ENSG00000176928/ENSG00000151491/ENSG00000113205/ENSG00000162618/ENSG00000136546/ENSG00000091409/ENSG00000134463/ENSG00000169116/ENSG00000112530/ENSG00000116396/ENSG00000184144/ENSG00000165023/ENSG00000168811/ENSG00000137875/ENSG00000188910/ENSG00000111863/ENSG00000184349/ENSG00000140876/ENSG00000136274/ENSG00000065534/ENSG00000176153/ENSG00000185652/ENSG00000148346/ENSG00000142910/ENSG00000183837/ENSG00000163431/ENSG00000179915/ENSG00000180660/ENSG00000156298/ENSG00000106511/ENSG00000154529/ENSG00000124134/ENSG00000117707/ENSG00000154678/ENSG00000147257
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN	100	-0.550033640065594	-1.9743201700532185	1.1767474699929395e-4	0.001019699730972837	4.624618040806259e-4	2010	tags=38%, list=16%, signal=32%	ENSG00000100453/ENSG00000139679/ENSG00000165029/ENSG00000047648/ENSG00000172817/ENSG00000136866/ENSG00000167994/ENSG00000164116/ENSG00000136161/ENSG00000134569/ENSG00000169994/ENSG00000144668/ENSG00000114019/ENSG00000106113/ENSG00000171747/ENSG00000125968/ENSG00000127528/ENSG00000144476/ENSG00000155962/ENSG00000157827/ENSG00000111863/ENSG00000085265/ENSG00000106852/ENSG00000171403/ENSG00000120949/ENSG00000165125/ENSG00000180509/ENSG00000105997/ENSG00000137285/ENSG00000197506/ENSG00000109906/ENSG00000124107/ENSG00000172201/ENSG00000163884/ENSG00000086570/ENSG00000129151/ENSG00000165197/ENSG00000167434
PTEN_DN.V1_DN	PTEN_DN.V1_DN	99	-0.5169685095303564	-1.8531986544029107	1.177717583323519e-4	0.001019699730972837	4.624618040806259e-4	1628	tags=36%, list=13%, signal=32%	ENSG00000134072/ENSG00000166510/ENSG00000013619/ENSG00000147119/ENSG00000142748/ENSG00000115607/ENSG00000269190/ENSG00000149654/ENSG00000127990/ENSG00000159713/ENSG00000122012/ENSG00000182132/ENSG00000026025/ENSG00000173918/ENSG00000162882/ENSG00000150625/ENSG00000198046/ENSG00000174944/ENSG00000244405/ENSG00000112761/ENSG00000140279/ENSG00000133048/ENSG00000185518/ENSG00000151623/ENSG00000154262/ENSG00000127920/ENSG00000183837/ENSG00000118849/ENSG00000174607/ENSG00000124785/ENSG00000156298/ENSG00000144031/ENSG00000078549/ENSG00000117707/ENSG00000139144/ENSG00000186847
RELA_DN.V1_UP	RELA_DN.V1_UP	92	-0.5243210786894698	-1.8632256067397093	1.1866619200189867e-4	0.001019699730972837	4.624618040806259e-4	3104	tags=54%, list=24%, signal=42%	ENSG00000166922/ENSG00000171503/ENSG00000041982/ENSG00000184545/ENSG00000170579/ENSG00000007237/ENSG00000100600/ENSG00000013441/ENSG00000124216/ENSG00000171223/ENSG00000026652/ENSG00000157680/ENSG00000134571/ENSG00000099834/ENSG00000019485/ENSG00000169508/ENSG00000173511/ENSG00000185650/ENSG00000139910/ENSG00000138735/ENSG00000178726/ENSG00000106404/ENSG00000136866/ENSG00000136560/ENSG00000143184/ENSG00000147437/ENSG00000101746/ENSG00000150281/ENSG00000155090/ENSG00000204618/ENSG00000087074/ENSG00000067082/ENSG00000116396/ENSG00000177606/ENSG00000136717/ENSG00000058085/ENSG00000117013/ENSG00000117525/ENSG00000179388/ENSG00000128016/ENSG00000003137/ENSG00000165507/ENSG00000170345/ENSG00000162772/ENSG00000188763/ENSG00000120738/ENSG00000113396/ENSG00000268104/ENSG00000164825/ENSG00000138685
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	90	-0.6539480646707839	-2.3163268210846364	1.1924636298592893e-4	0.001019699730972837	4.624618040806259e-4	2182	tags=59%, list=17%, signal=49%	ENSG00000102547/ENSG00000081189/ENSG00000109472/ENSG00000064042/ENSG00000164683/ENSG00000006468/ENSG00000136235/ENSG00000158560/ENSG00000118971/ENSG00000101746/ENSG00000149573/ENSG00000261371/ENSG00000064225/ENSG00000175899/ENSG00000196368/ENSG00000182621/ENSG00000182568/ENSG00000079215/ENSG00000150625/ENSG00000179314/ENSG00000139946/ENSG00000198300/ENSG00000121361/ENSG00000139318/ENSG00000250722/ENSG00000102678/ENSG00000109654/ENSG00000182636/ENSG00000152583/ENSG00000198010/ENSG00000134531/ENSG00000114698/ENSG00000167191/ENSG00000112320/ENSG00000137675/ENSG00000072041/ENSG00000185518/ENSG00000185432/ENSG00000136531/ENSG00000154027/ENSG00000186462/ENSG00000124785/ENSG00000179915/ENSG00000156298/ENSG00000165092/ENSG00000157064/ENSG00000095637/ENSG00000168824/ENSG00000184905/ENSG00000123560/ENSG00000189056/ENSG00000157404/ENSG00000104332
PTEN_DN.V2_UP	PTEN_DN.V2_UP	87	-0.5348233209438831	-1.8873958468692262	1.1990407673860912e-4	0.001019699730972837	4.624618040806259e-4	2603	tags=54%, list=20%, signal=43%	ENSG00000115129/ENSG00000169239/ENSG00000128965/ENSG00000172667/ENSG00000071575/ENSG00000089225/ENSG00000026652/ENSG00000047617/ENSG00000198121/ENSG00000196954/ENSG00000169508/ENSG00000101670/ENSG00000160613/ENSG00000135373/ENSG00000164070/ENSG00000168899/ENSG00000128284/ENSG00000184371/ENSG00000173599/ENSG00000140961/ENSG00000128510/ENSG00000101746/ENSG00000188042/ENSG00000152818/ENSG00000182568/ENSG00000079215/ENSG00000150625/ENSG00000020577/ENSG00000177606/ENSG00000138271/ENSG00000137070/ENSG00000053747/ENSG00000162407/ENSG00000077616/ENSG00000146966/ENSG00000134531/ENSG00000173530/ENSG00000184254/ENSG00000148346/ENSG00000171346/ENSG00000115295/ENSG00000138772/ENSG00000196139/ENSG00000167772/ENSG00000129451/ENSG00000206075/ENSG00000128918
KRAS.PROSTATE_UP.V1_DN	KRAS.PROSTATE_UP.V1_DN	80	-0.5433954649285775	-1.89325755860838	1.2155099064057372e-4	0.001019699730972837	4.624618040806259e-4	1754	tags=38%, list=14%, signal=33%	ENSG00000146674/ENSG00000136235/ENSG00000080031/ENSG00000184451/ENSG00000182621/ENSG00000162595/ENSG00000092295/ENSG00000143546/ENSG00000144476/ENSG00000085563/ENSG00000206538/ENSG00000069535/ENSG00000205403/ENSG00000149591/ENSG00000124212/ENSG00000198932/ENSG00000135502/ENSG00000181143/ENSG00000185652/ENSG00000148346/ENSG00000160801/ENSG00000106123/ENSG00000186832/ENSG00000154027/ENSG00000078401/ENSG00000109610/ENSG00000109906/ENSG00000182732/ENSG00000268104/ENSG00000122756
P53_DN.V2_UP	P53_DN.V2_UP	78	-0.5614290642917554	-1.9505852734545186	1.2168410805548795e-4	0.001019699730972837	4.624618040806259e-4	2704	tags=49%, list=21%, signal=39%	ENSG00000132530/ENSG00000187010/ENSG00000049239/ENSG00000110848/ENSG00000087903/ENSG00000019485/ENSG00000118503/ENSG00000125144/ENSG00000008441/ENSG00000168679/ENSG00000006377/ENSG00000275302/ENSG00000128284/ENSG00000184271/ENSG00000140961/ENSG00000183421/ENSG00000138135/ENSG00000163406/ENSG00000248099/ENSG00000204618/ENSG00000179242/ENSG00000244405/ENSG00000150048/ENSG00000148604/ENSG00000101425/ENSG00000107562/ENSG00000140538/ENSG00000171303/ENSG00000188338/ENSG00000167772/ENSG00000145936/ENSG00000188763/ENSG00000126895/ENSG00000163739/ENSG00000078596/ENSG00000130032/ENSG00000186847/ENSG00000081041
