com_id	pg_gene	chr	order	size
193	ENSG00000170989	1	5	4
261	ENSG00000168781	15	4	4
256	ENSG00000169733	17	5	4
217	ENSG00000172661	10	4	4
232	ENSG00000176842	16	4	4
259	ENSG00000184227	14	4	4
251	ENSG00000117262	1	4	4
225	ENSG00000080608	9	4	3
333	ENSG00000081870	1	3	3
342	ENSG00000082516	5	3	3
231	ENSG00000085872	19	4	3
344	ENSG00000086061	1	4	3
253	ENSG00000158985	5	4	3
339	ENSG00000086619	1	3	3
241	ENSG00000105171	19	4	3
260	ENSG00000117868	7	4	3
227	ENSG00000111845	6	4	3
250	ENSG00000112039	6	4	3
346	ENSG00000137628	4	4	3
338	ENSG00000115840	2	3	3
239	ENSG00000116670	1	4	3
224	ENSG00000123338	12	4	3
340	ENSG00000125952	14	4	3
230	ENSG00000196976	X	4	3
332	ENSG00000128284	22	3	3
341	ENSG00000179454	14	4	3
258	ENSG00000106723	9	4	3
262	ENSG00000242372	20	4	3
357	ENSG00000134255	1	3	3
238	ENSG00000134575	11	4	3
351	ENSG00000138594	15	3	3
252	ENSG00000139329	12	4	3
223	ENSG00000140678	1	4	3
331	ENSG00000141582	17	3	3
220	ENSG00000183513	2	4	3
237	ENSG00000146476	6	4	3
337	ENSG00000148444	10	3	3
350	ENSG00000148950	11	3	3
329	ENSG00000163840	3	3	3
328	ENSG00000164292	5	3	3
229	ENSG00000168301	3	4	3
249	ENSG00000174807	11	4	3
228	ENSG00000169155	9	4	3
222	ENSG00000171812	1	4	3
343	ENSG00000171970	19	4	3
330	ENSG00000172139	3	3	3
236	ENSG00000175105	3	4	3
226	ENSG00000181788	3	4	3
221	ENSG00000183735	12	4	3
235	ENSG00000184545	11	4	3
327	ENSG00000196793	10	3	3
336	ENSG00000196873	9	3	3
334	ENSG00000197620	X	3	3
326	ENSG00000203950	X	3	3
234	ENSG00000204642	6	4	3
325	ENSG00000231852	6	3	3
335	ENSG00000239887	1	3	3
324	ENSG00000258818	14	3	3
323	ENSG00000046651	X	3	2
849	ENSG00000020256	20	3	2
848	ENSG00000089876	10	3	2
265	ENSG00000099330	19	3	2
264	ENSG00000102030	X	3	2
316	ENSG00000068308	X	3	2
294	ENSG00000128052	13	3	2
315	ENSG00000077150	10	3	2
361	ENSG00000183207	19	3	2
304	ENSG00000105520	19	3	2
314	ENSG00000105656	19	3	2
303	ENSG00000105669	19	3	2
302	ENSG00000106086	7	3	2
850	ENSG00000197448	7	3	2
356	ENSG00000002919	17	3	2
359	ENSG00000112282	6	3	2
313	ENSG00000113161	5	3	2
852	ENSG00000114742	3	3	2
272	ENSG00000115318	2	3	2
321	ENSG00000048991	2	3	2
274	ENSG00000116039	2	3	2
301	ENSG00000116754	1	3	2
312	ENSG00000065183	1	3	2
322	ENSG00000011009	1	3	2
289	ENSG00000117448	1	3	2
347	ENSG00000162910	1	3	2
360	ENSG00000225190	17	3	2
291	ENSG00000160633	19	3	2
363	ENSG00000164610	7	3	2
300	ENSG00000123472	1	3	2
276	ENSG00000244274	20	3	2
851	ENSG00000177732	20	3	2
299	ENSG00000125968	20	3	2
320	ENSG00000104872	19	3	2
298	ENSG00000128050	4	3	2
287	ENSG00000163913	3	3	2
284	ENSG00000166788	11	3	2
297	ENSG00000173542	4	3	2
845	ENSG00000196227	20	3	2
290	ENSG00000134815	19	3	2
352	ENSG00000135211	7	3	2
846	ENSG00000135390	12	3	2
271	ENSG00000136718	2	3	2
311	ENSG00000119321	9	3	2
296	ENSG00000140254	15	3	2
286	ENSG00000166260	17	3	2
280	ENSG00000185862	17	3	2
295	ENSG00000143727	2	3	2
267	ENSG00000163166	2	3	2
345	ENSG00000145833	5	3	2
270	ENSG00000149599	20	3	2
269	ENSG00000156017	9	3	2
355	ENSG00000156671	10	3	2
293	ENSG00000157214	7	3	2
292	ENSG00000158158	2	3	2
268	ENSG00000162073	16	3	2
288	ENSG00000163257	4	3	2
349	ENSG00000163964	3	3	2
285	ENSG00000166455	16	3	2
319	ENSG00000049540	17	3	2
310	ENSG00000074842	19	3	2
353	ENSG00000170855	12	3	2
309	ENSG00000167554	19	3	2
283	ENSG00000168765	1	3	2
308	ENSG00000125148	16	3	2
282	ENSG00000170471	20	3	2
279	ENSG00000213088	1	3	2
281	ENSG00000174348	1	3	2
307	ENSG00000156170	8	3	2
354	ENSG00000177542	11	3	2
847	ENSG00000177666	11	3	2
306	ENSG00000115232	2	3	2
318	ENSG00000144648	3	3	2
305	ENSG00000123836	1	3	2
317	ENSG00000171943	1	3	2
348	ENSG00000213339	19	3	2
278	ENSG00000213719	6	3	2
277	ENSG00000215788	1	3	2
358	ENSG00000243896	7	3	2
275	ENSG00000244242	11	3	2
273	ENSG00000265190	10	3	2
266	ENSG00000275395	1	3	2
362	ENSG00000275464	21	3	2
844	ENSG00000001461	1	2	1
843	ENSG00000035928	4	2	1
583	ENSG00000055147	5	2	1
582	ENSG00000056736	3	2	1
581	ENSG00000065057	16	2	1
596	ENSG00000068394	X	2	1
579	ENSG00000072840	4	2	1
578	ENSG00000073614	12	2	1
842	ENSG00000074219	19	2	1
841	ENSG00000077235	16	2	1
364	ENSG00000077721	X	2	1
840	ENSG00000082458	X	2	1
577	ENSG00000084444	12	2	1
576	ENSG00000085978	2	2	1
839	ENSG00000090539	3	2	1
881	ENSG00000092470	15	2	1
639	ENSG00000099810	9	2	1
838	ENSG00000100304	22	2	1
575	ENSG00000100345	22	2	1
856	ENSG00000100580	14	2	1
837	ENSG00000100982	20	2	1
836	ENSG00000101811	X	2	1
835	ENSG00000101882	X	2	1
805	ENSG00000101997	X	2	1
746	ENSG00000102081	X	2	1
834	ENSG00000102181	X	2	1
572	ENSG00000102312	X	2	1
571	ENSG00000102316	X	2	1
570	ENSG00000102882	16	2	1
833	ENSG00000103876	15	2	1
832	ENSG00000104047	15	2	1
568	ENSG00000104953	19	2	1
831	ENSG00000105341	19	2	1
567	ENSG00000105974	7	2	1
830	ENSG00000106025	7	2	1
566	ENSG00000106052	7	2	1
565	ENSG00000106565	7	2	1
829	ENSG00000106605	7	2	1
828	ENSG00000107262	9	2	1
660	ENSG00000107949	10	2	1
855	ENSG00000107960	10	2	1
872	ENSG00000108395	17	2	1
827	ENSG00000108439	17	2	1
884	ENSG00000110013	11	2	1
563	ENSG00000111203	12	2	1
562	ENSG00000111664	12	2	1
580	ENSG00000111671	12	2	1
826	ENSG00000111684	12	2	1
561	ENSG00000111785	12	2	1
825	ENSG00000111907	6	2	1
559	ENSG00000112146	6	2	1
824	ENSG00000112200	6	2	1
823	ENSG00000112210	6	2	1
808	ENSG00000112234	6	2	1
558	ENSG00000112304	6	2	1
557	ENSG00000112769	6	2	1
556	ENSG00000112796	6	2	1
822	ENSG00000112983	5	2	1
744	ENSG00000113721	17	2	1
821	ENSG00000114656	3	2	1
820	ENSG00000114757	3	2	1
819	ENSG00000115392	2	2	1
555	ENSG00000115598	2	2	1
554	ENSG00000115828	2	2	1
818	ENSG00000115904	2	2	1
553	ENSG00000115993	2	2	1
552	ENSG00000116990	1	2	1
817	ENSG00000117222	1	2	1
816	ENSG00000117408	1	2	1
815	ENSG00000117859	1	2	1
551	ENSG00000118496	6	2	1
550	ENSG00000118503	14	2	1
814	ENSG00000118564	4	2	1
868	ENSG00000118689	6	2	1
750	ENSG00000119723	14	2	1
564	ENSG00000121101	17	2	1
813	ENSG00000121310	1	2	1
812	ENSG00000121316	12	2	1
811	ENSG00000121766	1	2	1
810	ENSG00000121895	4	2	1
809	ENSG00000121905	1	2	1
549	ENSG00000122126	X	2	1
548	ENSG00000122861	10	2	1
547	ENSG00000123096	12	2	1
545	ENSG00000124006	2	2	1
544	ENSG00000124383	2	2	1
807	ENSG00000124570	6	2	1
876	ENSG00000125166	16	2	1
875	ENSG00000125356	X	2	1
806	ENSG00000125409	17	2	1
542	ENSG00000126107	1	2	1
804	ENSG00000127083	9	2	1
803	ENSG00000127445	19	2	1
870	ENSG00000127922	1	2	1
802	ENSG00000128271	22	2	1
540	ENSG00000128298	22	2	1
801	ENSG00000128309	22	2	1
800	ENSG00000128346	22	2	1
799	ENSG00000128394	22	2	1
798	ENSG00000128617	7	2	1
797	ENSG00000128710	2	2	1
539	ENSG00000129295	8	2	1
538	ENSG00000129933	19	2	1
796	ENSG00000130311	19	2	1
537	ENSG00000130340	6	2	1
536	ENSG00000130511	19	2	1
862	ENSG00000130559	9	2	1
535	ENSG00000130723	9	2	1
795	ENSG00000130822	X	2	1
534	ENSG00000130921	12	2	1
533	ENSG00000131558	7	2	1
532	ENSG00000131791	1	2	1
541	ENSG00000132467	4	2	1
794	ENSG00000132824	20	2	1
531	ENSG00000132879	1	2	1
793	ENSG00000134371	1	2	1
530	ENSG00000134851	4	2	1
792	ENSG00000134853	14	2	1
791	ENSG00000134901	13	2	1
790	ENSG00000134996	9	2	1
789	ENSG00000135740	16	2	1
529	ENSG00000135899	2	2	1
528	ENSG00000135999	2	2	1
