ensembl_id	id	type
ENSG00000203812	39	amp
ENSG00000261716	39	amp
ENSG00000220323	39	amp
ENSG00000143375	39	amp
ENSG00000272196	39	amp
ENSG00000270276	39	amp
ENSG00000203852	39	amp
ENSG00000264207	39	amp
ENSG00000184678	39	amp
ENSG00000184260	39	amp
ENSG00000178096	39	amp
ENSG00000184270	39	amp
ENSG00000159164	39	amp
ENSG00000143368	39	amp
ENSG00000014914	39	amp
ENSG00000264522	39	amp
ENSG00000223861	39	amp
ENSG00000232536	39	amp
ENSG00000143367	39	amp
ENSG00000285184	39	amp
ENSG00000223945	39	amp
ENSG00000136631	39	amp
ENSG00000250734	39	amp
ENSG00000143376	39	amp
ENSG00000227045	39	amp
ENSG00000159409	39	amp
ENSG00000178796	39	amp
ENSG00000182134	39	amp
ENSG00000023902	39	amp
ENSG00000285554	39	amp
ENSG00000143401	39	amp
ENSG00000143450	39	amp
ENSG00000269621	39	amp
ENSG00000236940	39	amp
ENSG00000143436	39	amp
ENSG00000268288	39	amp
ENSG00000203288	39	amp
ENSG00000232937	39	amp
ENSG00000249602	39	amp
ENSG00000118298	39	amp
ENSG00000276110	39	amp
ENSG00000117362	39	amp
ENSG00000118292	39	amp
ENSG00000269489	39	amp
ENSG00000213171	39	amp
ENSG00000143365	39	amp
ENSG00000225556	39	amp
ENSG00000196407	39	amp
ENSG00000234614	39	amp
ENSG00000159445	39	amp
ENSG00000285651	39	amp
ENSG00000159208	39	amp
ENSG00000223810	39	amp
ENSG00000197747	39	amp
ENSG00000240667	39	amp
ENSG00000163191	39	amp
ENSG00000229021	39	amp
ENSG00000232678	39	amp
ENSG00000285818	39	amp
ENSG00000182898	39	amp
ENSG00000159450	39	amp
ENSG00000266472	39	amp
ENSG00000197915	39	amp
ENSG00000236427	39	amp
ENSG00000226716	39	amp
ENSG00000143536	39	amp
ENSG00000215853	39	amp
ENSG00000143631	39	amp
ENSG00000143520	39	amp
ENSG00000233792	39	amp
ENSG00000183586	39	amp
ENSG00000237975	39	amp
ENSG00000186207	39	amp
ENSG00000169509	39	amp
ENSG00000185966	39	amp
ENSG00000163202	39	amp
ENSG00000244057	39	amp
ENSG00000187238	39	amp
ENSG00000185962	39	amp
ENSG00000226947	39	amp
ENSG00000285753	39	amp
ENSG00000187223	39	amp
ENSG00000187180	39	amp
ENSG00000159455	39	amp
ENSG00000187173	39	amp
ENSG00000117360	39	amp
ENSG00000187170	39	amp
ENSG00000198854	39	amp
ENSG00000163125	39	amp
ENSG00000229713	39	amp
ENSG00000233819	39	amp
ENSG00000203786	39	amp
ENSG00000143374	39	amp
ENSG00000143369	39	amp
ENSG00000228126	39	amp
ENSG00000143384	39	amp
ENSG00000203804	39	amp
ENSG00000143382	39	amp
ENSG00000237781	39	amp
ENSG00000143420	39	amp
ENSG00000143457	39	amp
ENSG00000143452	39	amp
ENSG00000163131	39	amp
ENSG00000236713	39	amp
ENSG00000224690	39	amp
ENSG00000143387	39	amp
ENSG00000143437	39	amp
ENSG00000224800	39	amp
ENSG00000283324	39	amp
ENSG00000229357	39	amp
ENSG00000143379	39	amp
ENSG00000231073	39	amp
ENSG00000143418	39	amp
ENSG00000259357	39	amp
ENSG00000143412	39	amp
ENSG00000143409	39	amp
ENSG00000143363	39	amp
ENSG00000163141	39	amp
ENSG00000213190	39	amp
ENSG00000197622	39	amp
ENSG00000143443	39	amp
ENSG00000143458	39	amp
ENSG00000233717	39	amp
ENSG00000261168	39	amp
ENSG00000143434	39	amp
ENSG00000163156	39	amp
ENSG00000163157	39	amp
ENSG00000163154	39	amp
ENSG00000163155	39	amp
ENSG00000163159	39	amp
ENSG00000253047	39	amp
ENSG00000200759	39	amp
ENSG00000207606	39	amp
ENSG00000201134	39	amp
ENSG00000201142	39	amp
ENSG00000270384	39	amp
ENSG00000202167	39	amp
ENSG00000274408	39	amp
ENSG00000283676	39	amp
ENSG00000222788	39	amp
ENSG00000275229	39	amp
ENSG00000270722	39	amp
ENSG00000207205	39	amp
ENSG00000206931	39	amp
ENSG00000201558	39	amp
ENSG00000276442	39	amp
ENSG00000238765	39	amp
ENSG00000206828	39	amp
ENSG00000264553	39	amp
ENSG00000278549	39	amp
ENSG00000252830	39	amp
ENSG00000200175	39	amp
ENSG00000252840	39	amp
ENSG00000278596	39	amp
ENSG00000252105	39	amp
ENSG00000273516	39	amp
ENSG00000207209	39	amp
ENSG00000199879	39	amp
ENSG00000252826	39	amp
ENSG00000274963	39	amp
ENSG00000273694	39	amp
ENSG00000273727	39	amp
ENSG00000206585	39	amp
ENSG00000201183	39	amp
ENSG00000277678	39	amp
ENSG00000273768	39	amp
ENSG00000206980	39	amp
ENSG00000207149	39	amp
ENSG00000252744	39	amp
ENSG00000222222	39	amp
ENSG00000201789	39	amp
ENSG00000274210	39	amp
ENSG00000274428	39	amp
ENSG00000277313	39	amp
ENSG00000238825	39	amp
ENSG00000207349	39	amp
ENSG00000265753	39	amp
ENSG00000207340	39	amp
ENSG00000283933	39	amp
ENSG00000277762	39	amp
ENSG00000275291	39	amp
ENSG00000274450	39	amp
ENSG00000277610	39	amp
ENSG00000252515	39	amp
ENSG00000273591	39	amp
ENSG00000206737	39	amp
ENSG00000277452	39	amp
ENSG00000266187	39	amp
ENSG00000201699	39	amp
ENSG00000275538	39	amp
ENSG00000252656	39	amp
ENSG00000207501	39	amp
ENSG00000278099	39	amp
ENSG00000277918	39	amp
ENSG00000202408	39	amp
ENSG00000238711	39	amp
ENSG00000222854	39	amp
ENSG00000206791	39	amp
ENSG00000275933	39	amp
ENSG00000206635	39	amp
ENSG00000276103	39	amp
ENSG00000252135	39	amp
ENSG00000142627	2	del
ENSG00000227959	2	del
ENSG00000224621	2	del
ENSG00000142632	2	del
ENSG00000234166	2	del
ENSG00000235112	2	del
ENSG00000233072	2	del
ENSG00000236073	2	del
ENSG00000075151	2	del
