ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	comm
44_amp	6p22.3_amp	104/104	309/2245	8.629027457728449e-98	2.5887082373185345e-97	NA	ENSG00000013375/ENSG00000013392/ENSG00000034693/ENSG00000057663/ENSG00000060762/ENSG00000071994/ENSG00000074935/ENSG00000081087/ENSG00000083097/ENSG00000083099/ENSG00000085377/ENSG00000085382/ENSG00000092820/ENSG00000111832/ENSG00000111875/ENSG00000111877/ENSG00000111911/ENSG00000112110/ENSG00000112159/ENSG00000112237/ENSG00000112249/ENSG00000112282/ENSG00000112335/ENSG00000112365/ENSG00000112367/ENSG00000112379/ENSG00000112584/ENSG00000112592/ENSG00000112695/ENSG00000112697/ENSG00000112701/ENSG00000118412/ENSG00000118518/ENSG00000118689/ENSG00000118690/ENSG00000120253/ENSG00000120256/ENSG00000120265/ENSG00000120438/ENSG00000130023/ENSG00000130347/ENSG00000130348/ENSG00000130349/ENSG00000130363/ENSG00000130396/ENSG00000131013/ENSG00000131023/ENSG00000135297/ENSG00000135315/ENSG00000135316/ENSG00000135317/ENSG00000135334/ENSG00000135336/ENSG00000135341/ENSG00000135521/ENSG00000135535/ENSG00000135537/ENSG00000135587/ENSG00000135596/ENSG00000135597/ENSG00000146282/ENSG00000146414/ENSG00000146425/ENSG00000146457/ENSG00000153975/ENSG00000155085/ENSG00000155111/ENSG00000155115/ENSG00000164494/ENSG00000168438/ENSG00000169976/ENSG00000178425/ENSG00000183137/ENSG00000184465/ENSG00000185127/ENSG00000185250/ENSG00000186625/ENSG00000187189/ENSG00000189241/ENSG00000196586/ENSG00000196591/ENSG00000197081/ENSG00000197498/ENSG00000203778/ENSG00000213066/ENSG00000213079/ENSG00000005700/ENSG00000009844/ENSG00000025796/ENSG00000014123/ENSG00000008018/ENSG00000047932/ENSG00000051620/ENSG00000111880/ENSG00000009413/ENSG00000025156/ENSG00000055211/ENSG00000132424/ENSG00000122335/ENSG00000049618/ENSG00000123505/ENSG00000112290/ENSG00000130024/ENSG00000112706	104	235
26_del	6q27_del	20/104	26/2245	5.910297561412791e-23	8.865446342119187e-23	NA	ENSG00000060762/ENSG00000071994/ENSG00000092820/ENSG00000112110/ENSG00000112584/ENSG00000112592/ENSG00000120438/ENSG00000130023/ENSG00000130363/ENSG00000130396/ENSG00000146425/ENSG00000146457/ENSG00000184465/ENSG00000185127/ENSG00000197081/ENSG00000213066/ENSG00000008018/ENSG00000122335/ENSG00000049618/ENSG00000130024	20	235
6_del	6q21_del	3/104	3/2245	9.669460959145175e-5	9.669460959145175e-5	NA	ENSG00000118689/ENSG00000118690/ENSG00000183137	3	235
44_amp	6p22.3_amp	90/90	309/2245	1.0090563811217674e-83	1.0090563811217674e-83	NA	ENSG00000024048/ENSG00000044090/ENSG00000064999/ENSG00000096401/ENSG00000112033/ENSG00000112039/ENSG00000112078/ENSG00000112167/ENSG00000112578/ENSG00000112624/ENSG00000112640/ENSG00000112651/ENSG00000112659/ENSG00000118482/ENSG00000124541/ENSG00000124562/ENSG00000124571/ENSG00000124608/ENSG00000124641/ENSG00000124659/ENSG00000124688/ENSG00000124702/ENSG00000124733/ENSG00000137161/ENSG00000137200/ENSG00000137207/ENSG00000137216/ENSG00000137221/ENSG00000137288/ENSG00000137409/ENSG00000137413/ENSG00000146223/ENSG00000156711/ENSG00000157593/ENSG00000170734/ENSG00000171453/ENSG00000171467/ENSG00000172432/ENSG00000180992/ENSG00000187626/ENSG00000189298/ENSG00000196812/ENSG00000197062/ENSG00000198315/ENSG00000198663/ENSG00000198937/ENSG00000204220/ENSG00000204231/ENSG00000204304/ENSG00000204351/ENSG00000204356/ENSG00000204371/ENSG00000204394/ENSG00000204427/ENSG00000204435/ENSG00000204463/ENSG00000204469/ENSG00000204498/ENSG00000204560/ENSG00000204564/ENSG00000204574/ENSG00000204576/ENSG00000204599/ENSG00000204713/ENSG00000213676/ENSG00000223501/ENSG00000227057/ENSG00000231925/ENSG00000234127/ENSG00000236104/ENSG00000237441/ENSG00000240053/ENSG00000064995/ENSG00000065029/ENSG00000096070/ENSG00000112118/ENSG00000048544/ENSG00000096080/ENSG00000065060/ENSG00000112514/ENSG00000066379/ENSG00000137185/ENSG00000112511/ENSG00000204227/ENSG00000204209/ENSG00000204366/ENSG00000204228/ENSG00000137337/ENSG00000198563/ENSG00000204619	90	201
17_del	1p21.3_del	44/44	73/2245	2.7193034173148872e-73	2.7193034173148872e-73	NA	ENSG00000031698/ENSG00000065135/ENSG00000085433/ENSG00000116266/ENSG00000117133/ENSG00000117151/ENSG00000117155/ENSG00000117505/ENSG00000117543/ENSG00000121940/ENSG00000122435/ENSG00000122481/ENSG00000122482/ENSG00000122484/ENSG00000134186/ENSG00000134222/ENSG00000134243/ENSG00000137942/ENSG00000137947/ENSG00000137992/ENSG00000137996/ENSG00000142867/ENSG00000142875/ENSG00000143033/ENSG00000143093/ENSG00000143106/ENSG00000143126/ENSG00000156875/ENSG00000156876/ENSG00000162642/ENSG00000162695/ENSG00000168710/ENSG00000174021/ENSG00000174842/ENSG00000183291/ENSG00000197780/ENSG00000203943/ENSG00000215717/ENSG00000067334/ENSG00000117569/ENSG00000065243/ENSG00000117500/ENSG00000117620/ENSG00000117054	44	242
10_del	14q24.3_del	61/62	69/2245	2.247240752759891e-109	4.494481505519782e-109	2.3655165818525167e-109	ENSG00000042317/ENSG00000080815/ENSG00000081177/ENSG00000089916/ENSG00000100577/ENSG00000100580/ENSG00000100583/ENSG00000100591/ENSG00000100601/ENSG00000100603/ENSG00000100632/ENSG00000100722/ENSG00000100731/ENSG00000100764/ENSG00000100796/ENSG00000100815/ENSG00000119616/ENSG00000119638/ENSG00000119650/ENSG00000119669/ENSG00000119682/ENSG00000119684/ENSG00000119685/ENSG00000119688/ENSG00000119689/ENSG00000119705/ENSG00000119718/ENSG00000125952/ENSG00000133935/ENSG00000133961/ENSG00000133983/ENSG00000133997/ENSG00000134001/ENSG00000139990/ENSG00000151445/ENSG00000165533/ENSG00000165861/ENSG00000165898/ENSG00000165934/ENSG00000165943/ENSG00000170348/ENSG00000170468/ENSG00000177465/ENSG00000183648/ENSG00000184227/ENSG00000187105/ENSG00000198894/ENSG00000205659/ENSG00000213463/ENSG00000257365/ENSG00000029364/ENSG00000042088/ENSG00000066427/ENSG00000066455/ENSG00000100568/ENSG00000119596/ENSG00000100554/ENSG00000009830/ENSG00000013523/ENSG00000119673/ENSG00000119711	61	150
1_del	11q23.3_del	10/10	11/2245	1.2523041053895249e-26	1.2523041053895249e-26	NA	ENSG00000076043/ENSG00000076053/ENSG00000109917/ENSG00000110274/ENSG00000137656/ENSG00000149577/ENSG00000160613/ENSG00000167257/ENSG00000168092/ENSG00000180425	10	131
2_del	1p36.12_del	6/6	32/2245	5.1304890571691935e-12	5.1304890571691935e-12	NA	ENSG00000053371/ENSG00000077549/ENSG00000158747/ENSG00000162482/ENSG00000173436/ENSG00000040487	6	133
34_del	22q11.22_del	84/157	98/2245	8.057349565517386e-93	1.611469913103477e-92	NA	ENSG00000070413/ENSG00000099889/ENSG00000099899/ENSG00000099901/ENSG00000099910/ENSG00000099917/ENSG00000099940/ENSG00000099942/ENSG00000099949/ENSG00000099956/ENSG00000099968/ENSG00000099991/ENSG00000099995/ENSG00000100023/ENSG00000100028/ENSG00000100029/ENSG00000100030/ENSG00000100056/ENSG00000100075/ENSG00000100084/ENSG00000100099/ENSG00000100104/ENSG00000100105/ENSG00000100109/ENSG00000100150/ENSG00000100209/ENSG00000100220/ENSG00000100225/ENSG00000100263/ENSG00000100280/ENSG00000100281/ENSG00000100284/ENSG00000100297/ENSG00000100319/ENSG00000100320/ENSG00000100325/ENSG00000100330/ENSG00000100348/ENSG00000100353/ENSG00000128185/ENSG00000128191/ENSG00000128245/ENSG00000128294/ENSG00000131100/ENSG00000133422/ENSG00000133460/ENSG00000138867/ENSG00000138942/ENSG00000161179/ENSG00000177663/ENSG00000178026/ENSG00000180957/ENSG00000182541/ENSG00000183530/ENSG00000183597/ENSG00000183765/ENSG00000184076/ENSG00000184117/ENSG00000184436/ENSG00000184470/ENSG00000184708/ENSG00000184792/ENSG00000185252/ENSG00000185608/ENSG00000185651/ENSG00000185721/ENSG00000186575/ENSG00000186716/ENSG00000187792/ENSG00000187860/ENSG00000197077/ENSG00000198089/ENSG00000215012/ENSG00000215193/ENSG00000241973/ENSG00000242259/ENSG00000069998/ENSG00000070010/ENSG00000093010/ENSG00000100014/ENSG00000128228/ENSG00000100296/ENSG00000040608/ENSG00000099999	84	84
28_del	22q13.31_del	73/157	91/2245	6.210232857501124e-75	6.210232857501124e-75	NA	ENSG00000054611/ENSG00000073169/ENSG00000075240/ENSG00000079974/ENSG00000093000/ENSG00000100124/ENSG00000100129/ENSG00000100138/ENSG00000100151/ENSG00000100207/ENSG00000100211/ENSG00000100216/ENSG00000100221/ENSG00000100226/ENSG00000100227/ENSG00000100239/ENSG00000100241/ENSG00000100246/ENSG00000100258/ENSG00000100271/ENSG00000100294/ENSG00000100307/ENSG00000100324/ENSG00000100335/ENSG00000100347/ENSG00000100359/ENSG00000100372/ENSG00000100380/ENSG00000100387/ENSG00000100393/ENSG00000100395/ENSG00000100401/ENSG00000100403/ENSG00000100410/ENSG00000100412/ENSG00000100413/ENSG00000100416/ENSG00000100417/ENSG00000100418/ENSG00000100425/ENSG00000100426/ENSG00000100429/ENSG00000128159/ENSG00000128165/ENSG00000128272/ENSG00000130489/ENSG00000130638/ENSG00000170638/ENSG00000182858/ENSG00000183172/ENSG00000183864/ENSG00000184164/ENSG00000184208/ENSG00000184983/ENSG00000186976/ENSG00000187051/ENSG00000188636/ENSG00000189306/ENSG00000196236/ENSG00000196419/ENSG00000196576/ENSG00000196588/ENSG00000198951/ENSG00000205560/ENSG00000205593/ENSG00000205643/ENSG00000213923/ENSG00000239900/ENSG00000254413/ENSG00000273899/ENSG00000025770/ENSG00000100288/ENSG00000073150	73	84
7_del	3p21.31_del	2/2	144/2245	0.004087514738634879	0.004087514738634879	NA	ENSG00000056736/ENSG00000016391	2	135
29_del	5q21.1_del	42/42	67/2245	6.134976067542038e-72	6.134976067542038e-72	NA	ENSG00000113013/ENSG00000113068/ENSG00000113141/ENSG00000113575/ENSG00000120314/ENSG00000120705/ENSG00000120733/ENSG00000129625/ENSG00000131495/ENSG00000131508/ENSG00000134970/ENSG00000145833/ENSG00000146007/ENSG00000152700/ENSG00000155329/ENSG00000158985/ENSG00000164219/ENSG00000164244/ENSG00000164402/ENSG00000164403/ENSG00000164405/ENSG00000164615/ENSG00000168944/ENSG00000170445/ENSG00000170606/ENSG00000172795/ENSG00000172869/ENSG00000181904/ENSG00000198944/ENSG00000198961/ENSG00000205089/ENSG00000213523/ENSG00000213585/ENSG00000112855/ENSG00000113558/ENSG00000058729/ENSG00000072364/ENSG00000113658/ENSG00000113648/ENSG00000113615/ENSG00000113522/ENSG00000151292	42	206
3_del	19p13.3_del	5/13	5/2245	2.7202815542276376e-12	1.6321689325365827e-11	1.1453817070432159e-11	ENSG00000099804/ENSG00000099821/ENSG00000105556/ENSG00000141933/ENSG00000172270	5	119
14_del	12p13.1_del	22/22	51/2245	3.6490250226807994e-39	3.6490250226807994e-39	NA	ENSG00000065970/ENSG00000089693/ENSG00000089818/ENSG00000111321/ENSG00000111639/ENSG00000111652/ENSG00000111667/ENSG00000111669/ENSG00000111678/ENSG00000111679/ENSG00000126746/ENSG00000126749/ENSG00000139180/ENSG00000139197/ENSG00000159335/ENSG00000215021/ENSG00000047621/ENSG00000010292/ENSG00000111641/ENSG00000111640/ENSG00000111676/ENSG00000010219	22	149
27_del	15q22.2_del	8/28	122/2245	7.507997251307641e-5	9.760396426699933e-4	7.903155001376466e-4	ENSG00000104147/ENSG00000137804/ENSG00000137812/ENSG00000156970/ENSG00000157456/ENSG00000166803/ENSG00000198826/ENSG00000051180	8	208
18_del	4q35.1_del	5/28	46/2245	2.000116162473323e-4	0.0013000755056076598	0.0010526927170912226	ENSG00000109674/ENSG00000142731/ENSG00000145386/ENSG00000164104/ENSG00000164109	5	208
27_del	15q22.2_del	101/101	122/2245	6.385251499210064e-155	6.385251499210064e-155	NA	ENSG00000067369/ENSG00000074603/ENSG00000090470/ENSG00000090487/ENSG00000092439/ENSG00000092470/ENSG00000092531/ENSG00000103671/ENSG00000103769/ENSG00000103932/ENSG00000103978/ENSG00000103994/ENSG00000104067/ENSG00000104131/ENSG00000104133/ENSG00000104142/ENSG00000104164/ENSG00000114062/ENSG00000128463/ENSG00000128731/ENSG00000128908/ENSG00000128928/ENSG00000128951/ENSG00000128989/ENSG00000134152/ENSG00000134153/ENSG00000137770/ENSG00000137776/ENSG00000137802/ENSG00000137806/ENSG00000137814/ENSG00000137815/ENSG00000137822/ENSG00000137824/ENSG00000137876/ENSG00000138592/ENSG00000138593/ENSG00000138594/ENSG00000138600/ENSG00000138614/ENSG00000138617/ENSG00000140157/ENSG00000140259/ENSG00000140262/ENSG00000140265/ENSG00000140307/ENSG00000140319/ENSG00000140326/ENSG00000140455/ENSG00000156958/ENSG00000157450/ENSG00000157734/ENSG00000159459/ENSG00000166133/ENSG00000166140/ENSG00000166145/ENSG00000166200/ENSG00000166477/ENSG00000166734/ENSG00000166797/ENSG00000166855/ENSG00000166887/ENSG00000166912/ENSG00000166946/ENSG00000168781/ENSG00000168803/ENSG00000168806/ENSG00000169105/ENSG00000169118/ENSG00000170113/ENSG00000171262/ENSG00000171763/ENSG00000174485/ENSG00000180304/ENSG00000180357/ENSG00000180979/ENSG00000182117/ENSG00000185115/ENSG00000198146/ENSG00000198690/ENSG00000214013/ENSG00000223572/ENSG00000237289/ENSG00000255302/ENSG00000255529/ENSG00000256061/ENSG00000260916/ENSG00000261652/ENSG00000273749/ENSG00000275835/ENSG00000021776/ENSG00000028528/ENSG00000074621/ENSG00000081014/ENSG00000104129/ENSG00000104140/ENSG00000128915/ENSG00000069956/ENSG00000103707/ENSG00000137842/ENSG00000166762	101	525
24_del	17q12_del	49/49	110/2245	3.273143232673873e-70	3.273143232673873e-70	NA	ENSG00000067596/ENSG00000073536/ENSG00000073969/ENSG00000087152/ENSG00000092871/ENSG00000108651/ENSG00000108666/ENSG00000108671/ENSG00000108733/ENSG00000108774/ENSG00000108788/ENSG00000108883/ENSG00000120071/ENSG00000126581/ENSG00000126858/ENSG00000131462/ENSG00000131467/ENSG00000131470/ENSG00000131475/ENSG00000136448/ENSG00000141699/ENSG00000161654/ENSG00000168256/ENSG00000168259/ENSG00000168591/ENSG00000173801/ENSG00000178691/ENSG00000180329/ENSG00000183978/ENSG00000185379/ENSG00000186566/ENSG00000188554/ENSG00000198783/ENSG00000198863/ENSG00000225190/ENSG00000266967/ENSG00000270647/ENSG00000273611/ENSG00000275700/ENSG00000278053/ENSG00000278259/ENSG00000278311/ENSG00000013306/ENSG00000005156/ENSG00000010244/ENSG00000068120/ENSG00000159314/ENSG00000275066/ENSG00000277161	49	433
19_del	10q26.13_del	27/28	36/2245	1.1004131490831111e-53	2.2008262981662223e-53	NA	ENSG00000089876/ENSG00000095574/ENSG00000107651/ENSG00000107669/ENSG00000107672/ENSG00000108055/ENSG00000119953/ENSG00000119965/ENSG00000138162/ENSG00000151532/ENSG00000151893/ENSG00000151923/ENSG00000165660/ENSG00000165669/ENSG00000165672/ENSG00000179988/ENSG00000196177/ENSG00000196865/ENSG00000197771/ENSG00000198924/ENSG00000203780/ENSG00000019995/ENSG00000023041/ENSG00000107938/ENSG00000119979/ENSG00000107560/ENSG00000108039	27	140
