ensemblID	community
ENSG00000095139	5
ENSG00000095574	89
ENSG00000095787	33
ENSG00000095906	13
ENSG00000095970	174
ENSG00000096401	32
ENSG00000099246	33
ENSG00000099330	322
ENSG00000099341	76
ENSG00000099381	38
ENSG00000099622	21
ENSG00000099800	21
ENSG00000099804	21
ENSG00000099810	395
ENSG00000099817	21
ENSG00000099821	21
ENSG00000099849	11
ENSG00000099875	21
ENSG00000099889	25
ENSG00000099899	25
ENSG00000099901	25
ENSG00000099910	25
ENSG00000099917	25
ENSG00000099940	25
ENSG00000099942	25
ENSG00000099949	25
ENSG00000099956	25
ENSG00000099958	149
ENSG00000099968	25
ENSG00000099991	25
ENSG00000099995	2
ENSG00000100023	25
ENSG00000100028	25
ENSG00000100029	2
ENSG00000100030	25
ENSG00000100056	25
ENSG00000100075	25
ENSG00000100083	2
ENSG00000100084	25
ENSG00000100099	2
ENSG00000100104	2
ENSG00000100105	2
ENSG00000100109	2
ENSG00000100124	2
ENSG00000100129	2
ENSG00000100138	2
ENSG00000100150	2
ENSG00000100151	2
ENSG00000100196	15
ENSG00000100207	2
ENSG00000100209	2
ENSG00000100211	2
ENSG00000100216	2
ENSG00000100220	2
ENSG00000100221	2
ENSG00000100225	2
ENSG00000100226	2
ENSG00000100227	2
ENSG00000100239	2
ENSG00000100241	2
ENSG00000100246	2
ENSG00000100258	2
ENSG00000100263	2
ENSG00000100271	2
ENSG00000100280	2
ENSG00000100281	2
ENSG00000100284	2
ENSG00000100294	2
ENSG00000100297	2
ENSG00000100304	396
ENSG00000100307	2
ENSG00000100319	2
ENSG00000100320	2
ENSG00000100324	2
ENSG00000100325	2
ENSG00000100330	2
ENSG00000100335	2
ENSG00000100345	858
ENSG00000100347	2
ENSG00000100348	2
ENSG00000100353	2
ENSG00000100359	2
ENSG00000100372	2
ENSG00000100380	2
ENSG00000100387	2
ENSG00000100393	2
ENSG00000100395	2
ENSG00000100401	2
ENSG00000100403	2
ENSG00000100410	2
ENSG00000100412	2
ENSG00000100413	2
ENSG00000100416	2
ENSG00000100417	2
ENSG00000100418	2
ENSG00000100425	2
ENSG00000100426	2
ENSG00000100429	2
ENSG00000100448	878
ENSG00000100461	36
ENSG00000100462	36
ENSG00000100483	28
ENSG00000100485	28
ENSG00000100519	28
