com_id	pg_gene	chr	order	size	cond
838	ENSG00000228716	5	2	1	healthy
516	ENSG00000231500	6	2	1	healthy
515	ENSG00000231672	11	2	1	healthy
628	ENSG00000237440	19	2	1	healthy
627	ENSG00000238083	17	2	1	healthy
626	ENSG00000242372	16	2	1	healthy
825	ENSG00000243335	2	2	1	healthy
625	ENSG00000243927	21	2	1	healthy
818	ENSG00000244165	19	2	1	healthy
624	ENSG00000244482	19	2	1	healthy
623	ENSG00000244731	6	2	1	healthy
514	ENSG00000248383	5	2	1	healthy
622	ENSG00000248712	11	2	1	healthy
621	ENSG00000250091	12	2	1	healthy
620	ENSG00000253304	1	2	1	healthy
619	ENSG00000254413	22	2	1	healthy
513	ENSG00000255112	16	2	1	healthy
618	ENSG00000257103	17	2	1	healthy
617	ENSG00000257315	1	2	1	healthy
616	ENSG00000258484	15	2	1	healthy
512	ENSG00000259040	6	2	1	healthy
511	ENSG00000266472	1	2	1	healthy
615	ENSG00000266964	19	2	1	healthy
614	ENSG00000269242	19	2	1	healthy
613	ENSG00000271425	1	2	1	healthy
612	ENSG00000272333	19	2	1	healthy
611	ENSG00000275895	21	2	1	healthy
610	ENSG00000277117	21	2	1	healthy
