ensemblID	community
ENSG00000101331	341
ENSG00000101336	37
ENSG00000101353	15
ENSG00000101361	154
ENSG00000101367	10
ENSG00000101413	155
ENSG00000101442	38
ENSG00000101445	195
ENSG00000101447	117
ENSG00000101474	77
ENSG00000101558	101
ENSG00000101680	4
ENSG00000101752	14
ENSG00000101846	15
ENSG00000102007	13
ENSG00000102010	341
ENSG00000102038	14
ENSG00000102096	223
ENSG00000102100	4
ENSG00000102144	155
ENSG00000102181	15
ENSG00000102221	223
ENSG00000102225	77
ENSG00000102241	10
ENSG00000102302	4
ENSG00000102359	85
ENSG00000102362	77
ENSG00000102390	10
ENSG00000102531	223
ENSG00000102543	155
ENSG00000102572	77
ENSG00000102575	70
ENSG00000102738	154
ENSG00000102753	15
ENSG00000102786	154
ENSG00000102802	13
ENSG00000102871	153
ENSG00000102886	4
ENSG00000102890	4
ENSG00000102893	13
ENSG00000102898	15
ENSG00000102901	39
ENSG00000102935	15
ENSG00000102962	70
ENSG00000102974	155
ENSG00000103035	15
ENSG00000103037	195
ENSG00000103150	77
ENSG00000103274	51
ENSG00000103363	10
ENSG00000103423	154
ENSG00000103490	40
ENSG00000103496	10
ENSG00000103544	4
ENSG00000103549	10
ENSG00000103591	101
ENSG00000103710	241
ENSG00000103855	13
ENSG00000103876	77
ENSG00000103942	4
ENSG00000103966	4
ENSG00000103978	4
ENSG00000103994	15
ENSG00000104140	4
ENSG00000104177	4
ENSG00000104205	111
ENSG00000104213	13
ENSG00000104218	42
ENSG00000104290	4
ENSG00000104325	77
ENSG00000104327	70
ENSG00000104331	15
ENSG00000104332	4
ENSG00000104343	70
ENSG00000104388	15
ENSG00000104413	4
ENSG00000104450	4
ENSG00000104549	4
ENSG00000104635	153
ENSG00000104783	4
ENSG00000104805	4
ENSG00000104812	77
ENSG00000104853	85
ENSG00000104881	13
ENSG00000104886	77
ENSG00000104888	13
ENSG00000104892	4
ENSG00000104936	15
ENSG00000104953	101
ENSG00000104979	10
ENSG00000104980	155
ENSG00000105011	117
ENSG00000105085	195
ENSG00000105186	154
ENSG00000105220	77
ENSG00000105221	77
ENSG00000105289	4
ENSG00000105321	10
ENSG00000105325	4
ENSG00000105329	4
ENSG00000105355	154
ENSG00000105372	10
ENSG00000105379	77
ENSG00000105401	10
ENSG00000105427	4
ENSG00000105514	4
ENSG00000105516	101
ENSG00000105518	13
ENSG00000105523	4
ENSG00000105552	77
ENSG00000105559	101
ENSG00000105568	10
ENSG00000105576	15
ENSG00000105607	77
ENSG00000105617	322
ENSG00000105619	10
ENSG00000105643	153
ENSG00000105649	154
ENSG00000105699	4
ENSG00000105705	10
ENSG00000105711	13
ENSG00000105722	154
ENSG00000105723	85
ENSG00000105726	13
ENSG00000105732	154
ENSG00000105792	14
ENSG00000105819	195
ENSG00000105821	10
ENSG00000105849	154
ENSG00000105875	155
ENSG00000105879	10
ENSG00000105939	195
ENSG00000105953	77
ENSG00000105971	15
ENSG00000105974	15
ENSG00000105993	231
ENSG00000105997	13
ENSG00000106003	77
ENSG00000106004	13
ENSG00000106006	4
ENSG00000106070	13
ENSG00000106086	154
ENSG00000106123	111
ENSG00000106244	10
ENSG00000106245	155
ENSG00000106263	223
ENSG00000106266	77
ENSG00000106333	13
ENSG00000106344	10
ENSG00000106460	231
ENSG00000106537	4
ENSG00000106538	77
ENSG00000106554	77
ENSG00000106565	43
ENSG00000106571	44
ENSG00000106591	15
ENSG00000106635	15
ENSG00000106682	10
