ID	commun	community_type
GO:0033044	158	Inter
GO:0010389	158	Inter
GO:1901989	158	Inter
GO:0051656	158	Inter
GO:0007080	158	Inter
GO:1901992	158	Inter
GO:2001251	158	Inter
GO:0045132	158	Inter
GO:0051653	158	Inter
GO:0000281	158	Inter
GO:0044843	158	Inter
GO:0031570	158	Inter
GO:0031145	158	Inter
GO:0030261	158	Inter
GO:0040001	158	Inter
GO:0061640	158	Inter
GO:0065004	158	Inter
GO:0051293	158	Inter
GO:0051383	158	Inter
GO:0071459	158	Inter
GO:0000910	158	Inter
GO:0034508	158	Inter
GO:0007018	158	Inter
GO:0006260	158	Inter
GO:0034502	158	Inter
GO:0071824	158	Inter
GO:0007077	158	Inter
GO:0051988	158	Inter
GO:0006890	158	Inter
GO:0007062	158	Inter
GO:0051315	158	Inter
GO:0000082	158	Inter
GO:0000079	158	Inter
GO:0019886	158	Inter
GO:0002495	158	Inter
GO:0002504	158	Inter
GO:1904029	158	Inter
GO:0000076	158	Inter
GO:0007076	158	Inter
GO:0030397	158	Inter
GO:0051081	158	Inter
GO:0044774	158	Inter
GO:0034501	158	Inter
GO:0072395	158	Inter
GO:0072401	158	Inter
GO:0072422	158	Inter
GO:0045840	158	Inter
GO:0010639	158	Inter
GO:0006336	158	Inter
GO:0034724	158	Inter
GO:1904666	158	Inter
GO:0007098	158	Inter
GO:0042770	158	Inter
GO:0006334	158	Inter
GO:0031023	158	Inter
GO:0010971	158	Inter
GO:0051785	158	Inter
GO:0051302	158	Inter
GO:0061982	158	Inter
GO:0044818	158	Inter
GO:1902751	158	Inter
GO:0000077	158	Inter
GO:0000132	158	Inter
GO:1902750	158	Inter
GO:0007276	158	Inter
GO:0031572	158	Inter
GO:0031497	158	Inter
GO:1904668	158	Inter
GO:0051294	158	Inter
GO:0034080	158	Inter
GO:0061641	158	Inter
GO:0006270	158	Inter
GO:0002478	158	Inter
GO:0032465	158	Inter
GO:0034728	158	Inter
GO:0019884	158	Inter
GO:0031055	158	Inter
GO:0090231	158	Inter
GO:0090266	158	Inter
GO:1903504	158	Inter
GO:0051445	158	Inter
GO:0048002	158	Inter
GO:0006333	158	Inter
GO:0051382	158	Inter
GO:0007127	158	Inter
GO:0043486	158	Inter
GO:0051438	158	Inter
GO:0006998	158	Inter
GO:0044773	158	Inter
GO:0019882	158	Inter
GO:1902806	158	Inter
GO:0051307	158	Inter
GO:0071156	158	Inter
GO:0007292	158	Inter
GO:0006977	158	Inter
GO:0007283	158	Inter
GO:0072431	158	Inter
GO:1902400	158	Inter
GO:0072413	158	Inter
GO:1902402	158	Inter
GO:1902403	158	Inter
GO:0007064	158	Inter
GO:0030330	158	Inter
GO:0048232	158	Inter
GO:0007143	158	Inter
GO:0000083	158	Inter
GO:0031571	158	Inter
GO:0044819	158	Inter
GO:0022412	158	Inter
GO:0044783	158	Inter
GO:0051984	158	Inter
GO:0032392	158	Inter
GO:0070507	158	Inter
GO:0006997	158	Inter
GO:0051443	158	Inter
GO:0072331	158	Inter
GO:0043044	158	Inter
GO:1901976	158	Inter
GO:0002281	36	Inter
GO:0032675	36	Inter
GO:0032635	36	Inter
GO:0032680	36	Inter
GO:0032640	36	Inter
GO:1903555	36	Inter
GO:0071706	36	Inter
GO:0002573	36	Inter
GO:0032653	36	Inter
GO:0032613	36	Inter
GO:0002696	36	Inter
GO:0050867	36	Inter
GO:0032760	36	Inter
GO:0032652	36	Inter
GO:1903557	36	Inter
GO:0042116	36	Inter
GO:0032612	36	Inter
GO:0030316	36	Inter
GO:0030099	36	Inter
GO:0001819	36	Inter
GO:0002521	36	Inter
GO:0002694	36	Inter
GO:0042742	36	Inter
GO:0050865	36	Inter
GO:0002275	36	Inter
GO:0045672	36	Inter
GO:2000010	36	Inter
GO:0060143	36	Inter
GO:0060142	36	Inter
GO:0043032	36	Inter
GO:0001773	36	Inter
GO:0032753	36	Inter
GO:0032673	36	Inter
