com_id	pg_gene	chr	order	size
70	ENSG00000173542	4	3	2
44	ENSG00000134815	19	3	2
24	ENSG00000136718	2	3	2
273	ENSG00000119321	9	3	2
25	ENSG00000140254	15	3	2
54	ENSG00000166260	17	3	2
88	ENSG00000185862	17	3	2
45	ENSG00000143727	2	3	2
46	ENSG00000163166	2	3	2
351	ENSG00000149599	20	3	2
370	ENSG00000156017	9	3	2
48	ENSG00000157214	7	3	2
376	ENSG00000158158	2	3	2
59	ENSG00000162073	16	3	2
398	ENSG00000163257	4	3	2
136	ENSG00000166455	16	3	2
425	ENSG00000049540	17	3	2
426	ENSG00000074842	19	3	2
430	ENSG00000167554	19	3	2
113	ENSG00000168765	1	3	2
453	ENSG00000125148	16	3	2
255	ENSG00000170471	20	3	2
110	ENSG00000213088	1	3	2
481	ENSG00000174348	1	3	2
488	ENSG00000156170	8	3	2
509	ENSG00000115232	2	3	2
517	ENSG00000144648	3	3	2
521	ENSG00000123836	1	3	2
580	ENSG00000171943	1	3	2
114	ENSG00000213719	6	3	2
648	ENSG00000215788	1	3	2
127	ENSG00000244242	11	3	2
687	ENSG00000265190	10	3	2
512	ENSG00000275395	1	3	2
139	ENSG00000001461	1	2	1
34	ENSG00000035928	4	2	1
143	ENSG00000055147	5	2	1
144	ENSG00000056736	3	2	1
148	ENSG00000065057	16	2	1
128	ENSG00000068394	X	2	1
151	ENSG00000072840	4	2	1
152	ENSG00000073614	12	2	1
2	ENSG00000074219	19	2	1
153	ENSG00000077235	16	2	1
1	ENSG00000077721	X	2	1
156	ENSG00000082458	X	2	1
157	ENSG00000084444	12	2	1
159	ENSG00000085978	2	2	1
162	ENSG00000090539	3	2	1
100	ENSG00000099810	9	2	1
37	ENSG00000100304	22	2	1
166	ENSG00000100345	22	2	1
170	ENSG00000100982	20	2	1
171	ENSG00000101811	X	2	1
155	ENSG00000101882	X	2	1
15	ENSG00000101997	X	2	1
40	ENSG00000102081	X	2	1
174	ENSG00000102181	X	2	1
175	ENSG00000102312	X	2	1
176	ENSG00000102316	X	2	1
177	ENSG00000102882	16	2	1
179	ENSG00000103876	15	2	1
55	ENSG00000104047	15	2	1
181	ENSG00000104953	19	2	1
60	ENSG00000105341	19	2	1
186	ENSG00000105974	7	2	1
187	ENSG00000106025	7	2	1
188	ENSG00000106052	7	2	1
189	ENSG00000106565	7	2	1
190	ENSG00000106605	7	2	1
192	ENSG00000107262	9	2	1
92	ENSG00000107949	10	2	1
58	ENSG00000108439	17	2	1
