comm1	comm2	terms1	terms2	jaccard
341	117	17	150	0
341	153	17	45	0.03333333333333333
341	10	17	36	0
341	322	17	133	0
341	70	17	8	0
341	7	17	8	0
341	2	17	22	0
341	251	17	4	0
341	266	17	16	0
341	19	17	35	0
255	4	35	13	0
255	77	35	150	0
255	223	35	2	0.05714285714285714
255	13	35	57	0
255	341	35	4	0
255	241	35	2	0
255	101	35	20	0
255	117	35	150	0
255	153	35	45	0
255	10	35	36	0
255	322	35	133	0.037037037037037035
255	70	35	8	0
255	7	35	8	0
255	2	35	22	0.05555555555555555
255	251	35	4	0
255	266	35	16	0
255	19	35	35	1
