comm1	comm2	terms1	terms2	jaccard
5	54	6	15	0
5	159	6	1	0
5	161	6	4	0
5	80	6	21	0
5	178	6	8	0
5	5	6	6	1
5	484	6	29	0
5	193	6	22	0
5	611	6	23	0
5	76	6	7	0
5	232	6	17	0
5	129	6	40	0
5	231	6	4	0
5	233	6	5	0.375
5	344	6	1	0
5	412	6	1	0
5	381	6	16	0
5	91	6	2	0
5	65	6	6	0
5	95	6	2	0.3333333333333333
5	539	6	17	0
5	87	6	7	0
5	572	6	14	0
5	620	6	1	0
5	122	6	1	0
484	150	29	6	0
484	206	29	2	0
484	208	29	45	0
484	139	29	38	0
484	54	29	15	0
484	159	29	1	0
484	161	29	4	0
484	80	29	21	0
484	178	29	8	0
484	5	29	6	0
484	484	29	29	1
484	193	29	22	0
484	611	29	23	0
484	76	29	7	0
484	232	29	17	0
484	129	29	40	0.014705882352941176
484	231	29	4	0
484	233	29	5	0
484	344	29	1	0
484	412	29	1	0
484	381	29	16	0
484	91	29	2	0
484	65	29	6	0
484	95	29	2	0
484	539	29	17	0
484	87	29	7	0
484	572	29	14	0
484	620	29	1	0
484	122	29	1	0
193	150	22	6	0
193	206	22	2	0
193	208	22	45	0
193	139	22	38	0.01694915254237288
193	54	22	15	0
193	159	22	1	0
193	161	22	4	0
193	80	22	21	0
193	178	22	8	0
193	5	22	6	0
193	484	22	29	0
193	193	22	22	1
193	611	22	23	0
193	76	22	7	0
193	232	22	17	0
193	129	22	40	0
193	231	22	4	0
193	233	22	5	0
193	344	22	1	0
193	412	22	1	0
193	381	22	16	0
193	91	22	2	0
193	65	22	6	0
193	95	22	2	0
193	539	22	17	0
193	87	22	7	0
193	572	22	14	0
193	620	22	1	0
193	122	22	1	0
611	150	23	6	0.03571428571428571
611	206	23	2	0
611	208	23	45	0
611	139	23	38	0
611	54	23	15	0
611	159	23	1	0.043478260869565216
611	161	23	4	0
611	80	23	21	0.047619047619047616
611	178	23	8	0
611	5	23	6	0
611	484	23	29	0
611	193	23	22	0
611	611	23	23	1
611	76	23	7	0
611	232	23	17	0
611	129	23	40	0
611	231	23	4	0
611	233	23	5	0
611	344	23	1	0
611	412	23	1	0
611	381	23	16	0
611	91	23	2	0
611	65	23	6	0
611	95	23	2	0
611	539	23	17	0
611	87	23	7	0
611	572	23	14	0.05714285714285714
611	620	23	1	0
611	122	23	1	0
76	150	7	6	0
76	206	7	2	0
76	208	7	45	0
76	139	7	38	0
76	54	7	15	0
76	159	7	1	0
76	161	7	4	0
76	80	7	21	0
76	178	7	8	0
76	5	7	6	0
76	484	7	29	0
76	193	7	22	0
76	611	7	23	0
76	76	7	7	1
76	232	7	17	0
76	129	7	40	0
76	231	7	4	0.1
76	233	7	5	0
76	344	7	1	0
76	412	7	1	0
76	381	7	16	0.045454545454545456
76	91	7	2	0
76	65	7	6	0
76	95	7	2	0
76	539	7	17	0
76	87	7	7	0
76	572	7	14	0
76	620	7	1	0.14285714285714285
76	122	7	1	0.14285714285714285
232	150	17	6	0
232	206	17	2	0
232	208	17	45	0
232	139	17	38	0
232	54	17	15	0
232	159	17	1	0
232	161	17	4	0
232	80	17	21	0
232	178	17	8	0
232	5	17	6	0
232	484	17	29	0
232	193	17	22	0
232	611	17	23	0
232	76	17	7	0
232	232	17	17	1
232	129	17	40	0
232	231	17	4	0
232	233	17	5	0
232	344	17	1	0
232	412	17	1	0
232	381	17	16	0
232	91	17	2	0
232	65	17	6	0
232	95	17	2	0
232	539	17	17	0
232	87	17	7	0
232	572	17	14	0
232	620	17	1	0
232	122	17	1	0
129	150	40	6	0
129	206	40	2	0
129	208	40	45	0
129	139	40	38	0.012987012987012988
129	54	40	15	0.018518518518518517
129	159	40	1	0
129	161	40	4	0
129	80	40	21	0.05172413793103448
129	178	40	8	0.043478260869565216
129	5	40	6	0
129	484	40	29	0.014705882352941176
129	193	40	22	0
129	611	40	23	0
129	76	40	7	0
129	232	40	17	0
129	129	40	40	1
129	231	40	4	0
129	233	40	5	0
129	344	40	1	0
129	412	40	1	0
129	381	40	16	0
129	91	40	2	0
129	65	40	6	0
129	95	40	2	0
129	539	40	17	0
129	87	40	7	0
129	572	40	14	0
129	620	40	1	0
129	122	40	1	0
231	150	4	6	0
231	206	4	2	0
231	208	4	45	0
231	139	4	38	0
231	54	4	15	0
231	159	4	1	0
231	161	4	4	0
231	80	4	21	0
231	178	4	8	0
231	5	4	6	0
231	484	4	29	0
231	193	4	22	0
231	611	4	23	0
231	76	4	7	0.1
231	232	4	17	0
231	129	4	40	0
231	231	4	4	1
231	233	4	5	0
231	344	4	1	0
231	412	4	1	0
231	381	4	16	0
231	91	4	2	0
231	65	4	6	0
231	95	4	2	0
231	539	4	17	0
231	87	4	7	0
231	572	4	14	0
231	620	4	1	0.25
231	122	4	1	0.25
233	150	5	6	0
233	206	5	2	0
233	208	5	45	0
233	139	5	38	0
233	54	5	15	0
233	159	5	1	0
233	161	5	4	0
233	80	5	21	0
233	178	5	8	0
233	5	5	6	0.375
233	484	5	29	0
233	193	5	22	0
233	611	5	23	0
233	76	5	7	0
233	232	5	17	0
233	129	5	40	0
233	231	5	4	0
233	233	5	5	1
233	344	5	1	0
233	412	5	1	0
233	381	5	16	0
233	91	5	2	0
233	65	5	6	0
233	95	5	2	0.4
233	539	5	17	0
233	87	5	7	0
233	572	5	14	0
233	620	5	1	0
233	122	5	1	0
344	150	1	6	0
344	206	1	2	0
344	208	1	45	0
344	139	1	38	0
344	54	1	15	0
344	159	1	1	0
344	161	1	4	0
344	80	1	21	0
344	178	1	8	0
344	5	1	6	0
344	484	1	29	0
344	193	1	22	0
344	611	1	23	0
344	76	1	7	0
344	232	1	17	0
344	129	1	40	0
344	231	1	4	0
344	233	1	5	0
344	344	1	1	1
344	412	1	1	0
344	381	1	16	0
344	91	1	2	0
344	65	1	6	0
344	95	1	2	0
344	539	1	17	0
344	87	1	7	0
344	572	1	14	0
344	620	1	1	0
344	122	1	1	0
412	150	1	6	0
412	206	1	2	0.5
412	208	1	45	0
412	139	1	38	0
412	54	1	15	0
412	159	1	1	0
412	161	1	4	0
412	80	1	21	0
412	178	1	8	0
412	5	1	6	0
412	484	1	29	0
412	193	1	22	0
412	611	1	23	0
412	76	1	7	0
412	232	1	17	0
412	129	1	40	0
412	231	1	4	0
412	233	1	5	0
412	344	1	1	0
412	412	1	1	1
412	381	1	16	0
412	91	1	2	0
412	65	1	6	0
412	95	1	2	0
412	539	1	17	0
412	87	1	7	0
412	572	1	14	0
412	620	1	1	0
412	122	1	1	0
381	150	16	6	0
381	206	16	2	0
381	208	16	45	0
381	139	16	38	0
381	54	16	15	0
381	159	16	1	0
381	161	16	4	0
381	80	16	21	0.027777777777777776
381	178	16	8	0
381	5	16	6	0
381	484	16	29	0
381	193	16	22	0
381	611	16	23	0
381	76	16	7	0.045454545454545456
381	232	16	17	0
381	129	16	40	0
381	231	16	4	0
381	233	16	5	0
381	344	16	1	0
381	412	16	1	0
381	381	16	16	1
381	91	16	2	0
381	65	16	6	0
381	95	16	2	0
381	539	16	17	0
381	87	16	7	0
381	572	16	14	0
381	620	16	1	0
381	122	16	1	0
91	150	2	6	0
91	206	2	2	0
91	208	2	45	0
91	139	2	38	0
91	54	2	15	0
91	159	2	1	0
91	161	2	4	0.2
91	80	2	21	0
91	178	2	8	0
91	5	2	6	0
91	484	2	29	0
91	193	2	22	0
91	611	2	23	0
91	76	2	7	0
91	232	2	17	0
91	129	2	40	0
91	231	2	4	0
91	233	2	5	0
91	344	2	1	0
91	412	2	1	0
91	381	2	16	0
91	91	2	2	1
91	65	2	6	0
91	95	2	2	0
91	539	2	17	0
91	87	2	7	0
91	572	2	14	0
91	620	2	1	0
91	122	2	1	0
65	150	6	6	0
65	206	6	2	0
65	208	6	45	0
65	139	6	38	0
65	54	6	15	0
65	159	6	1	0
65	161	6	4	0
65	80	6	21	0
65	178	6	8	0
65	5	6	6	0
65	484	6	29	0
65	193	6	22	0
65	611	6	23	0
65	76	6	7	0
65	232	6	17	0
65	129	6	40	0
65	231	6	4	0
65	233	6	5	0
65	344	6	1	0
65	412	6	1	0
65	381	6	16	0
65	91	6	2	0
65	65	6	6	1
65	95	6	2	0
65	539	6	17	0
65	87	6	7	0
65	572	6	14	0
65	620	6	1	0
65	122	6	1	0
95	150	2	6	0
95	206	2	2	0
95	208	2	45	0
95	139	2	38	0
95	54	2	15	0
95	159	2	1	0
95	161	2	4	0
95	80	2	21	0
95	178	2	8	0
95	5	2	6	0.3333333333333333
95	484	2	29	0
95	193	2	22	0
95	611	2	23	0
95	76	2	7	0
95	232	2	17	0
95	129	2	40	0
95	231	2	4	0
95	233	2	5	0.4
95	344	2	1	0
95	412	2	1	0
95	381	2	16	0
95	91	2	2	0
95	65	2	6	0
95	95	2	2	1
95	539	2	17	0
95	87	2	7	0
95	572	2	14	0
95	620	2	1	0
95	122	2	1	0
539	150	17	6	0
539	206	17	2	0
539	208	17	45	0.05084745762711865
539	139	17	38	0
539	54	17	15	0
539	159	17	1	0
539	161	17	4	0
539	80	17	21	0
539	178	17	8	0
539	5	17	6	0
539	484	17	29	0
539	193	17	22	0
539	611	17	23	0
539	76	17	7	0
539	232	17	17	0
539	129	17	40	0
539	231	17	4	0
539	233	17	5	0
539	344	17	1	0
539	412	17	1	0
539	381	17	16	0
539	91	17	2	0
539	65	17	6	0
539	95	17	2	0
539	539	17	17	1
539	87	17	7	0
539	572	17	14	0
539	620	17	1	0
539	122	17	1	0
87	150	7	6	0
87	206	7	2	0
87	208	7	45	0
87	139	7	38	0
87	54	7	15	0
87	159	7	1	0
87	161	7	4	0
87	80	7	21	0
87	178	7	8	0
87	5	7	6	0
87	484	7	29	0
87	193	7	22	0
87	611	7	23	0
87	76	7	7	0
87	232	7	17	0
87	129	7	40	0
87	231	7	4	0
87	233	7	5	0
87	344	7	1	0
87	412	7	1	0
87	381	7	16	0
87	91	7	2	0
87	65	7	6	0
87	95	7	2	0
87	539	7	17	0
87	87	7	7	1
87	572	7	14	0
87	620	7	1	0
87	122	7	1	0
572	150	14	6	0
572	206	14	2	0
572	208	14	45	0.017241379310344827
572	139	14	38	0
572	54	14	15	0
572	159	14	1	0.07142857142857142
572	161	14	4	0
572	80	14	21	0.20689655172413793
572	178	14	8	0
572	5	14	6	0
572	484	14	29	0
572	193	14	22	0
572	611	14	23	0.05714285714285714
572	76	14	7	0
572	232	14	17	0
572	129	14	40	0
572	231	14	4	0
572	233	14	5	0
572	344	14	1	0
572	412	14	1	0
572	381	14	16	0
572	91	14	2	0
572	65	14	6	0
572	95	14	2	0
572	539	14	17	0
572	87	14	7	0
572	572	14	14	1
572	620	14	1	0
572	122	14	1	0
620	150	1	6	0
620	206	1	2	0
620	208	1	45	0
620	139	1	38	0
620	54	1	15	0
620	159	1	1	0
620	161	1	4	0
620	80	1	21	0
620	178	1	8	0
620	5	1	6	0
620	484	1	29	0
620	193	1	22	0
620	611	1	23	0
620	76	1	7	0.14285714285714285
620	232	1	17	0
620	129	1	40	0
620	231	1	4	0.25
620	233	1	5	0
620	344	1	1	0
620	412	1	1	0
620	381	1	16	0
620	91	1	2	0
620	65	1	6	0
620	95	1	2	0
620	539	1	17	0
620	87	1	7	0
620	572	1	14	0
620	620	1	1	1
620	122	1	1	1
122	150	1	6	0
122	206	1	2	0
122	208	1	45	0
122	139	1	38	0
122	54	1	15	0
122	159	1	1	0
122	161	1	4	0
122	80	1	21	0
122	178	1	8	0
122	5	1	6	0
122	484	1	29	0
122	193	1	22	0
122	611	1	23	0
122	76	1	7	0.14285714285714285
122	232	1	17	0
122	129	1	40	0
122	231	1	4	0.25
122	233	1	5	0
122	344	1	1	0
122	412	1	1	0
122	381	1	16	0
122	91	1	2	0
122	65	1	6	0
122	95	1	2	0
122	539	1	17	0
122	87	1	7	0
122	572	1	14	0
122	620	1	1	1
122	122	1	1	1
