comm1	comm2	jaccard
2	4	0
2	312	0
2	41	0.05
2	11	0
2	268	0
2	2	0
2	13	0
2	78	0
2	9	0
2	7	0.023809523809523808
2	344	0
2	5	0
2	274	0
2	45	0.14705882352941177
2	40	0.047619047619047616
2	6	0
2	8	0.015151515151515152
2	64	0.038461538461538464
2	75	0
2	34	0
2	18	0
2	32	0
2	31	0
2	20	0
2	121	0
2	101	0
2	46	0
2	133	0.041666666666666664
2	134	0.037037037037037035
2	176	0
2	36	0.03571428571428571
2	53	0
2	253	0
2	282	0
2	475	0
2	76	0
2	222	0.03571428571428571
2	322	0
2	65	0
2	221	0.07407407407407407
2	123	0
2	217	0
2	366	0
2	262	0
2	394	0
2	118	0
2	239	0
2	83	0
5	4	0
5	312	0
5	41	0
5	11	0
5	268	0
5	2	0
5	13	0
5	78	0
5	9	0
5	7	0
5	344	0
5	5	0
5	274	0
5	45	0
5	40	0
5	6	0
5	8	0.06521739130434782
5	64	0
5	75	0
5	34	0
5	18	0
5	32	0
5	31	0
5	20	0
5	121	0
5	101	0
5	46	0
5	133	0
5	134	0
5	176	0
5	36	0
5	53	0
5	253	0
5	282	0
5	475	0
5	76	0
5	222	0
5	322	0
5	65	0
5	221	0
5	123	0
5	217	0
5	366	0
5	262	0
5	394	0
5	118	0
5	239	0
5	83	0
1	4	0
1	312	0
1	41	0
1	11	0
1	268	0
1	2	0.7037037037037037
1	13	0
1	78	0
1	9	0
1	7	0
1	344	0
1	5	0
1	274	0
1	45	0
1	40	0.04878048780487805
1	6	0
1	8	0
1	64	0
1	75	0
1	34	0
1	18	0
1	32	0
1	31	0.09375
1	20	0
1	121	0
1	101	0
1	46	0
1	133	0
1	134	0
1	176	0
1	36	0
1	53	0
1	253	0
1	282	0
1	475	0
1	76	0
1	222	0
1	322	0
1	65	0
1	221	0
1	123	0
1	217	0
1	366	0.04
1	262	0
1	394	0
1	118	0
1	239	0
1	83	0
18	4	0
18	312	0
18	41	0
18	11	0
18	268	0
18	2	0
18	13	0
18	78	0
18	9	0
18	7	0
18	344	0
18	5	0
18	274	0
18	45	0
18	40	0
18	6	0
18	8	0
