comm1	comm2	jaccard
344	2	0
344	13	0
344	78	0
344	9	0
344	7	0
344	344	0
344	5	0
344	274	0
344	45	0
344	40	0
344	6	0
344	8	0
344	64	0
344	75	0.0625
344	34	0
344	18	0.1111111111111111
344	32	0
344	31	0
344	20	0
344	121	0
344	101	0
344	46	0
344	133	0
344	134	0
344	176	0
344	36	0
344	53	0
344	253	0
344	282	0
344	475	0
344	76	0.5833333333333334
344	222	0
344	322	0
344	65	0.6363636363636364
344	221	0
344	123	0
344	217	0
344	366	0
344	262	0
344	394	0
344	118	0
344	239	0
344	83	0
334	4	0
334	312	0
334	41	0
334	11	0
334	268	0
334	2	0
334	13	0
334	78	0
334	9	0
334	7	0.5357142857142857
334	344	0
334	5	0
334	274	0
334	45	0
334	40	0
334	6	0
334	8	0.06349206349206349
334	64	0
334	75	0
334	34	0
334	18	0
334	32	0
334	31	0
334	20	0
334	121	0
334	101	0
334	46	0
334	133	0.041666666666666664
334	134	0
334	176	0
334	36	0
334	53	0
334	253	0
334	282	0
334	475	0
334	76	0
334	222	0
334	322	0
334	65	0
334	221	0
334	123	0
334	217	0
334	366	0
334	262	0
334	394	0
334	118	0
334	239	0
334	83	0
335	4	0
335	312	0
335	41	0
335	11	0
335	268	0
335	2	0
335	13	0
335	78	0
335	9	0
335	7	0
335	344	0
335	5	0.2
335	274	0
335	45	0
335	40	0
335	6	0
335	8	0
335	64	0
335	75	0
335	34	0
335	18	0
335	32	0
335	31	0
335	20	0
335	121	0
335	101	0
335	46	0
335	133	0
335	134	0
335	176	0
335	36	0
335	53	0
335	253	0
335	282	0
335	475	0
335	76	0.14285714285714285
335	222	0
335	322	0
335	65	0
335	221	0
335	123	0
335	217	0
335	366	0
335	262	0
335	394	0
335	118	0
335	239	0
335	83	0
342	4	0
342	312	0
342	41	0
342	11	0
342	268	0
342	2	0
342	13	0
342	78	0
342	9	0
342	7	0
342	344	0
342	5	0
342	274	0
342	45	0.5
342	40	0.07407407407407407
342	6	0
342	8	0
342	64	0
342	75	0
342	34	0
342	18	0
342	32	0
342	31	0
342	20	0
342	121	0
342	101	0
342	46	0
342	133	0
342	134	0
342	176	0
342	36	0
342	53	0
342	253	0
342	282	0
342	475	0
342	76	0
342	222	0
342	322	0
342	65	0
342	221	0
342	123	0
342	217	0
342	366	0
342	262	0
342	394	0
342	118	0
342	239	0
342	83	0
15	4	0
15	312	0
15	41	0
15	11	0
15	268	0
15	2	0
15	13	0
15	78	0
15	9	0
15	7	0
15	344	0
15	5	0
15	274	0
15	45	0
15	40	0
15	6	0
15	8	0
15	64	0
15	75	0
15	34	0
15	18	0
15	32	0
15	31	0
15	20	0
15	121	0
15	101	0
15	46	1
15	133	0
15	134	0
15	176	0
15	36	0
15	53	0
15	253	0
15	282	0
15	475	0
15	76	0
15	222	0
15	322	0
15	65	0
15	221	0
15	123	0
15	217	0
15	366	0
15	262	0
15	394	0
15	118	0
15	239	0
15	83	0
339	4	0
339	312	0
339	41	0
339	11	0
339	268	0
339	2	0
339	13	0
339	78	0
339	9	0
339	7	0
339	344	0
