ID	symbol	community_type
GO:0032210	SLC4A1AP	*
GO:1904356	SLC4A1AP	*
GO:2000573	SLC4A1AP	*
GO:0007004	SLC4A1AP	*
GO:1900182	SLC4A1AP	*
GO:1903146	MFN2	*
GO:0000422	MFN2	*
GO:0061726	MFN2	*
GO:1903008	MFN2	*
GO:1901526	MFN2	*
GO:1901524	MFN2	*
GO:0016241	MFN2	*
GO:1903599	MFN2	*
GO:0010821	MFN2	*
GO:0000423	MFN2	*
GO:0016236	MFN2	*
GO:0010506	MFN2	*
GO:0061912	MFN2	*
GO:0016239	MFN2	*
GO:0070372	EGR1	-
GO:0070371	EGR1	-
GO:0002548	EGR1	-
GO:0006935	EGR1	-
GO:0060326	EGR1	-
GO:0042330	EGR1	-
GO:0071674	EGR1	-
GO:0032897	EGR1	-
GO:0032496	EGR1	-
GO:0002237	EGR1	-
GO:0035914	EGR1	-
GO:0043922	EGR1	-
GO:0072677	EGR1	-
GO:0009617	EGR1	-
GO:0043901	EGR1	-
GO:1990868	EGR1	-
GO:1990869	EGR1	-
GO:0097529	EGR1	-
GO:0070374	EGR1	-
GO:0051591	EGR1	-
GO:0030595	EGR1	-
GO:0046782	EGR1	-
GO:0002573	EGR1	-
GO:0048525	EGR1	-
GO:1901216	EGR1	-
GO:0002688	EGR1	-
GO:0043921	EGR1	-
GO:0052472	EGR1	-
GO:0030099	EGR1	-
GO:0046683	EGR1	-
GO:0052312	EGR1	-
GO:0045637	EGR1	-
GO:0002761	EGR1	-
GO:0014074	EGR1	-
GO:0007519	EGR1	-
GO:0060538	EGR1	-
GO:0009636	EGR1	-
GO:0031960	EGR1	-
GO:0051592	EGR1	-
GO:0048247	EGR1	-
GO:0071774	EGR1	-
GO:0002521	EGR1	-
GO:0002763	EGR1	-
GO:0030335	EGR1	-
GO:0007517	EGR1	-
GO:2000147	EGR1	-
GO:0051272	EGR1	-
GO:0070098	EGR1	-
GO:0040017	EGR1	-
GO:0071347	EGR1	-
GO:0048514	EGR1	-
GO:0048545	EGR1	-
GO:0071222	EGR1	-
GO:0071219	EGR1	-
GO:0002685	EGR1	-
GO:0001503	EGR1	-
GO:0030593	EGR1	-
GO:0070555	EGR1	-
GO:0071277	EGR1	-
GO:0050900	EGR1	-
GO:0051851	EGR1	-
GO:0050920	EGR1	-
GO:0043900	EGR1	-
GO:0035994	EGR1	-
GO:0051702	EGR1	-
GO:0019083	EGR1	-
GO:0071216	EGR1	-
GO:0002690	EGR1	-
GO:1990266	EGR1	-
GO:0050792	EGR1	-
GO:0045638	EGR1	-
GO:0019080	EGR1	-
GO:0071621	EGR1	-
GO:0045639	EGR1	-
GO:0043903	EGR1	-
GO:0009314	EGR1	-
GO:0072676	EGR1	-
GO:0030316	EGR1	-
GO:1903706	EGR1	-
GO:0048511	EGR1	-
GO:0140131	EGR1	-
GO:0001525	EGR1	-
GO:0071356	EGR1	-
GO:0097530	EGR1	-
GO:0007610	EGR1	-
GO:1902105	EGR1	-
GO:0043410	EGR1	-
GO:0014912	EGR1	-
GO:0060716	EGR1	-
GO:0090025	EGR1	-
GO:0051817	EGR1	-
GO:0051385	EGR1	-
GO:1901623	EGR1	-
GO:0034612	EGR1	-
GO:0051384	EGR1	-
GO:0051403	EGR1	-
GO:0001525	ESAM	-
GO:0007156	ESAM	-
GO:0048514	ESAM	-
